ไม่ระบุ,รวม,CNG-ดีเซล-ไฟฟ้า,LPG-ดีเซล-ไฟฟ้า,ดีเซล,LPGและดีเซล,CNG-LPG-ดีเซล,CNG-LPG-เบนซิน,ดีเซล-ไฟฟ้า,CNG,ก๊าซ LPG,LPGและเบนซิน,LPG-เบนซิน-ไฟฟ้า,เบนซิน-เอทานอล,CNG-LPG,CNG-เบนซิน,เบนซิน,ไม่ใช้เชื้อเพลิง,_id,เบนซิน-E20,ไฟฟ้า,เบนซิน-ไฟฟ้า,CNG-ดีเซล,CNG-เบนซิน-ไฟฟ้า
0.0,20481,0.0,0.0,1658,0.0,0.0,0.0,0.0,1,0.0,4,0.0,0.0,0.0,3,18739,64,1,0.0,0.0,12,0.0,0.0
0.0,20190,0.0,0.0,1437,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0,18739,0,2,0.0,0.0,12,0.0,0.0
0.0,1744,0.0,0.0,519,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,1213,0,3,0.0,0.0,11,0.0,0.0
0.0,33,0.0,0.0,32,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,1,0,4,0.0,0.0,0,0.0,0.0
0.0,879,0.0,0.0,854,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,24,0,5,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,6,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,7,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,8,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,9,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,10,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,11,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,12,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,13,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,14,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,15,0.0,0.0,0,0.0,0.0
0.0,17500,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,17499,0,16,0.0,0.0,1,0.0,0.0
0.0,29,0.0,0.0,29,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,17,0.0,0.0,0,0.0,0.0
0.0,3,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,18,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,19,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0,0.0,0.0
0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,2,0,21,0.0,0.0,0,0.0,0.0
0.0,291,0.0,0.0,221,0.0,0.0,0.0,0.0,1,0.0,2,0.0,0.0,0.0,3,0,64,22,0.0,0.0,0,0.0,0.0
0.0,31,0.0,0.0,26,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,3,0,0,23,0.0,0.0,0,0.0,0.0
0.0,5,0.0,0.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,24,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,25,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,26,0.0,0.0,0,0.0,0.0
0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,27,0.0,0.0,0,0.0,0.0
0.0,4,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,28,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,29,0.0,0.0,0,0.0,0.0
0.0,19,0.0,0.0,14,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,3,0,0,30,0.0,0.0,0,0.0,0.0
0.0,19,0.0,0.0,14,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,3,0,0,31,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,32,0.0,0.0,0,0.0,0.0
0.0,7,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,33,0.0,0.0,0,0.0,0.0
0.0,7,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,34,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0,0.0,0.0
0.0,260,0.0,0.0,195,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,64,36,0.0,0.0,0,0.0,0.0
0.0,14,0.0,0.0,8,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,5,37,0.0,0.0,0,0.0,0.0
0.0,14,0.0,0.0,8,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0,5,38,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,39,0.0,0.0,0,0.0,0.0
0.0,246,0.0,0.0,187,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,59,40,0.0,0.0,0,0.0,0.0
0.0,246,0.0,0.0,187,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,59,41,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,42,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,43,0.0,0.0,0,0.0,0.0
