เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ยี่ห้อ,รุ่น
มกราคม,221,1,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION ES
มกราคม,809,2,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION UT 420 STANDARD
มกราคม,709,3,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION UT 500 PREMIUM
มกราคม,12,4,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION V 505 PREMIUM
มกราคม,1255,5,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION V 602 LUXURY
มกราคม,496,6,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION Y PLUS
มกราคม,391,7,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION Y PLUS 490 PREMIUM
มกราคม,16,8,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,HYPTEC HT 620 LUXURY
มกราคม,535,9,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,HYPTEC HT 620 PREMIUM
มกราคม,1,10,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A1 SB 35 TFSI S line
มกราคม,1,11,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A4 AV 45 TFSI q S line IB
มกราคม,3,12,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 Avant e-hybrid q Tech Pro
มกราคม,4,13,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 40 TFSI S line
มกราคม,7,14,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 40 TFSI S line eo
มกราคม,2,15,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 45 TFSI q S line BE
มกราคม,2,16,2569,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 40 TFSI S line
