เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ยี่ห้อ,รุ่น
พฤษภาคม,2,1,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION ES
พฤษภาคม,302,2,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AION,AION Y PLUS
พฤษภาคม,3,3,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A4 40 TFSI S line IB
พฤษภาคม,3,4,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A4 AV 45 TFSI q S line IB
พฤษภาคม,4,5,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 40 TFSI S line
พฤษภาคม,1,6,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 45 TFSI q S line BE
พฤษภาคม,7,7,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 40 TFSI S line
พฤษภาคม,2,8,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 40 TFSI S line eo
พฤษภาคม,1,9,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 45 TFSI q S line BE
พฤษภาคม,2,10,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A6 AV 45 TFSI q S line BE
พฤษภาคม,1,11,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A7 SB 55 TFSI q S line
พฤษภาคม,4,12,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 35 TFSI S line
พฤษภาคม,1,13,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 35 TFSI S line
พฤษภาคม,6,14,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 40 TFSI q S line BE
พฤษภาคม,2,15,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 55 TFSI e q S line BE
