เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ยี่ห้อ,รุ่น
มีนาคม,2,1,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ASTON MARTIN,DB11 V8 COUPE
มีนาคม,3,2,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A3 SB 35 TFSI S line
มีนาคม,2,3,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A4 AV 45 TFSI q S line BE
มีนาคม,22,4,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 40 TFSI S line
มีนาคม,2,5,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 CP 45 TFSI q S line BE
มีนาคม,24,6,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 40 TFSI S line
มีนาคม,2,7,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A5 SB 45 TFSI q S line BE
มีนาคม,2,8,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A6 40 TFSI S line
มีนาคม,2,9,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,A7 SB 45 TFSI
มีนาคม,3,10,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron 55 q
มีนาคม,2,11,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron GT quattro PF
มีนาคม,3,12,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,e-tron SB 55 q S line
มีนาคม,3,13,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 35 TFSI S line
มีนาคม,5,14,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 40 TFSI q S line BE
มีนาคม,1,15,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 35 TFSI S line
มีนาคม,14,16,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q3 SB 40 TFSI q S line BE
มีนาคม,2,17,2566,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,AUDI,Q5 55 TFSI e q S line BE
