ปี พ.ศ.,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2565,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,630545
2565,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,23330
2565,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,234909
2565,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,91
2565,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1530
2565,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),1
2565,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,287
2565,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,71
2565,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,221
2565,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,9
2565,รถยนต์,รย. 12 รถจักรยานยนต์,1974495
2565,รถยนต์,รย. 13 รถแทร็กเตอร์,69945
2565,รถยนต์,รย. 14 รถบดถนน,851
2565,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,487
2565,รถยนต์,รย. 16 รถพ่วง,1132
2565,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,1207
2565,รถขนส่ง,รถโดยสารประจำทาง,1757
2565,รถขนส่ง,รถโดยสารไม่ประจำทาง,2790
2565,รถขนส่ง,รถโดยสารส่วนบุคคล,468
2565,รถขนส่ง,รถบรรทุกไม่ประจำทาง,36544
2565,รถขนส่ง,รถบรรทุกส่วนบุคคล,39670
