ประเภทกฎหมาย,ประเภทรถ,จังหวัด,ประเภทเชื้อเพลิง,จำนวนรถ
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,CNG สลับเบนซิน,62
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,LPG+เบนซินสลับไฟฟ้า,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,แก๊ส LPG +เบนซิน,464
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ดีเซล,27970
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ดีเซล-ไฟฟ้า,25
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,เบนซิน,40877
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,เบนซิน-ไฟฟ้า,2292
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,184
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,เบนซิน+เอทานอล,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ไฟฟ้า,1165
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ไม่ใช้เชื้อเพลิง,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กระบี่,ไม่ระบุ,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,CNG ร่วมกับดีเซล,56
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,CNG สลับเบนซิน,61777
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,LNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,LPG+เบนซินสลับไฟฟ้า,256
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ก๊าซ CNG,9
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,แก๊ส LPG,107
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,แก๊ส LPG +ดีเซล,96
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,แก๊ส LPG +เบนซิน,222753
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ดีเซล,1507717
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ดีเซล-ไฟฟ้า,9285
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,351
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,เบนซิน,3386388
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,เบนซิน-ไฟฟ้า,418247
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,67566
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,เบนซิน+LPG+CNG,10
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,เบนซิน+เอทานอล,775
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ไฟฟ้า,217854
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ไม่ใช้เชื้อเพลิง,556
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ไม่ระบุ,310
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,CNG สลับเบนซิน,828
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,LPG+เบนซินสลับไฟฟ้า,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ก๊าซ CNG,1
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,แก๊ส LPG,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,แก๊ส LPG +ดีเซล,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,แก๊ส LPG +เบนซิน,4005
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ดีเซล,31380
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ดีเซล-ไฟฟ้า,15
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,3
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,เบนซิน,47581
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,เบนซิน-ไฟฟ้า,2306
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,109
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,เบนซิน+เอทานอล,2
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ไฟฟ้า,1006
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ไม่ใช้เชื้อเพลิง,26
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาญจนบุรี,ไม่ระบุ,15
รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กาฬสินธุ์,CNG สลับเบนซิน,258
