ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2567,กรกฎาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,42733
2567,กรกฎาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2013
2567,กรกฎาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,10174
2567,กรกฎาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,11
2567,กรกฎาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,486
2567,กรกฎาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,23
2567,กรกฎาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,9
2567,กรกฎาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,29
2567,กรกฎาคม,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,5
2567,กรกฎาคม,รถยนต์,รย. 12 รถจักรยานยนต์,160615
2567,กรกฎาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,5064
2567,กรกฎาคม,รถยนต์,รย. 14 รถบดถนน,59
2567,กรกฎาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,20
2567,กรกฎาคม,รถยนต์,รย. 16 รถพ่วง,76
2567,กรกฎาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,89
2567,กรกฎาคม,รถขนส่ง,รถโดยสารประจำทาง,109
2567,กรกฎาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,393
2567,กรกฎาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,44
2567,กรกฎาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2705
2567,กรกฎาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2683
