ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,กันยายน,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,49209
2566,กันยายน,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1772
2566,กันยายน,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,12881
2566,กันยายน,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,4
2566,กันยายน,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,202
2566,กันยายน,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,51
2566,กันยายน,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,64
2566,กันยายน,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,179
2566,กันยายน,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,1
2566,กันยายน,รถยนต์,รย. 12 รถจักรยานยนต์,159359
2566,กันยายน,รถยนต์,รย. 13 รถแทร็กเตอร์,3827
2566,กันยายน,รถยนต์,รย. 14 รถบดถนน,61
2566,กันยายน,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,32
2566,กันยายน,รถยนต์,รย. 16 รถพ่วง,79
2566,กันยายน,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,110
2566,กันยายน,รถขนส่ง,รถโดยสารประจำทาง,89
2566,กันยายน,รถขนส่ง,รถโดยสารไม่ประจำทาง,549
2566,กันยายน,รถขนส่ง,รถโดยสารส่วนบุคคล,44
2566,กันยายน,รถขนส่ง,รถบรรทุกไม่ประจำทาง,3015
2566,กันยายน,รถขนส่ง,รถบรรทุกส่วนบุคคล,2971
