ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,ตุลาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,47998
2566,ตุลาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1512
2566,ตุลาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,11703
2566,ตุลาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,36
2566,ตุลาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,196
2566,ตุลาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,62
2566,ตุลาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,42
2566,ตุลาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,59
2566,ตุลาคม,รถยนต์,รย. 12 รถจักรยานยนต์,153980
2566,ตุลาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,3633
2566,ตุลาคม,รถยนต์,รย. 14 รถบดถนน,60
2566,ตุลาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,19
2566,ตุลาคม,รถยนต์,รย. 16 รถพ่วง,106
2566,ตุลาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,74
2566,ตุลาคม,รถขนส่ง,รถโดยสารประจำทาง,146
2566,ตุลาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,561
2566,ตุลาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,51
2566,ตุลาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,3300
2566,ตุลาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,3131
