ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,ธันวาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,38791
2568,ธันวาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1583
2568,ธันวาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6117
2568,ธันวาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,8
2568,ธันวาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,415
2568,ธันวาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,15
2568,ธันวาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,9
2568,ธันวาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,26
2568,ธันวาคม,รถยนต์,รย. 12 รถจักรยานยนต์,153151
2568,ธันวาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,3434
2568,ธันวาคม,รถยนต์,รย. 14 รถบดถนน,62
2568,ธันวาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,11
2568,ธันวาคม,รถยนต์,รย. 16 รถพ่วง,124
2568,ธันวาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,105
2568,ธันวาคม,รถขนส่ง,รถโดยสารประจำทาง,228
2568,ธันวาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,324
2568,ธันวาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,31
2568,ธันวาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2514
2568,ธันวาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2318
