ปี พ.ศ.,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,530249
2568,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,19980
2568,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,99984
2568,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,77
2568,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,4962
2568,รถยนต์,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),1
2568,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,158
2568,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,561
2568,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,527
2568,รถยนต์,รย. 11 รถยนต์บริการให้เช่า,11
2568,รถยนต์,รย. 12 รถจักรยานยนต์,1928973
2568,รถยนต์,รย. 13 รถแทร็กเตอร์,49242
2568,รถยนต์,รย. 14 รถบดถนน,739
2568,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,251
2568,รถยนต์,รย. 16 รถพ่วง,1029
2568,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,1161
2568,รถขนส่ง,รถโดยสารประจำทาง,1414
2568,รถขนส่ง,รถโดยสารไม่ประจำทาง,4043
2568,รถขนส่ง,รถโดยสารส่วนบุคคล,514
2568,รถขนส่ง,รถบรรทุกไม่ประจำทาง,30464
2568,รถขนส่ง,รถบรรทุกส่วนบุคคล,28236
