ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,พฤษภาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,59917
2566,พฤษภาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1617
2566,พฤษภาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,16679
2566,พฤษภาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,6
2566,พฤษภาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,205
2566,พฤษภาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,33
2566,พฤษภาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,33
2566,พฤษภาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,82
2566,พฤษภาคม,รถยนต์,รย. 12 รถจักรยานยนต์,202747
2566,พฤษภาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,5863
2566,พฤษภาคม,รถยนต์,รย. 14 รถบดถนน,68
2566,พฤษภาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,35
2566,พฤษภาคม,รถยนต์,รย. 16 รถพ่วง,88
2566,พฤษภาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,126
2566,พฤษภาคม,รถขนส่ง,รถโดยสารประจำทาง,246
2566,พฤษภาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,480
2566,พฤษภาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,55
2566,พฤษภาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,3400
2566,พฤษภาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,3277
