ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2566,มิถุนายน,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,59602
2566,มิถุนายน,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1874
2566,มิถุนายน,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,15009
2566,มิถุนายน,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,3
2566,มิถุนายน,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,233
2566,มิถุนายน,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,85
2566,มิถุนายน,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,23
2566,มิถุนายน,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,62
2566,มิถุนายน,รถยนต์,รย. 12 รถจักรยานยนต์,198376
2566,มิถุนายน,รถยนต์,รย. 13 รถแทร็กเตอร์,6102
2566,มิถุนายน,รถยนต์,รย. 14 รถบดถนน,57
2566,มิถุนายน,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,37
2566,มิถุนายน,รถยนต์,รย. 16 รถพ่วง,117
2566,มิถุนายน,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,100
2566,มิถุนายน,รถขนส่ง,รถโดยสารประจำทาง,353
2566,มิถุนายน,รถขนส่ง,รถโดยสารไม่ประจำทาง,466
2566,มิถุนายน,รถขนส่ง,รถโดยสารส่วนบุคคล,49
2566,มิถุนายน,รถขนส่ง,รถบรรทุกไม่ประจำทาง,3361
2566,มิถุนายน,รถขนส่ง,รถบรรทุกส่วนบุคคล,2970
