ปี พ.ศ.,เดือน,ประเภทกฏหมาย,ประเภทรถ,จำนวน
2568,สิงหาคม,รถยนต์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,41325
2568,สิงหาคม,รถยนต์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,1560
2568,สิงหาคม,รถยนต์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,8294
2568,สิงหาคม,รถยนต์,รย. 4 รถยนต์สามล้อส่วนบุคคล,4
2568,สิงหาคม,รถยนต์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,444
2568,สิงหาคม,รถยนต์,รย. 8 รถยนต์รับจ้างสามล้อ,11
2568,สิงหาคม,รถยนต์,รย. 9 รถยนต์บริการธุรกิจ,14
2568,สิงหาคม,รถยนต์,รย. 10 รถยนต์บริการทัศนาจร,28
2568,สิงหาคม,รถยนต์,รย. 12 รถจักรยานยนต์,147623
2568,สิงหาคม,รถยนต์,รย. 13 รถแทร็กเตอร์,3434
2568,สิงหาคม,รถยนต์,รย. 14 รถบดถนน,82
2568,สิงหาคม,รถยนต์,รย. 15 รถใช้ในงานเกษตรกรรม,56
2568,สิงหาคม,รถยนต์,รย. 16 รถพ่วง,83
2568,สิงหาคม,รถยนต์,รย. 17 รถจักรยานยนต์สาธารณะ,87
2568,สิงหาคม,รถขนส่ง,รถโดยสารประจำทาง,101
2568,สิงหาคม,รถขนส่ง,รถโดยสารไม่ประจำทาง,355
2568,สิงหาคม,รถขนส่ง,รถโดยสารส่วนบุคคล,51
2568,สิงหาคม,รถขนส่ง,รถบรรทุกไม่ประจำทาง,2663
2568,สิงหาคม,รถขนส่ง,รถบรรทุกส่วนบุคคล,2362
