สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,35695,87692,7033,12849,143269
จีน,26929,6710,27668,6910,68217
ไทยใหญ่,2441,1510,12168,19144,35263
อังกฤษ,4056,3171,13230,7236,27693
รัสเซีย,9173,12754,3059,2032,27018
ญี่ปุ่น,4083,1835,14543,4753,25214
อเมริกัน,5216,3200,11214,5409,25039
เยอรมัน,3925,3416,9381,6995,23717
อินเดีย,3100,2575,7873,6242,19790
ฝรั่งเศส,2893,2599,7618,5688,18798
กัมพูชา,6932,4662,1224,894,13712
ลาว,6692,3009,2825,1163,13689
ออสเตรเลีย,2553,1666,6073,3214,13506
เกาหลี ,3384,985,6493,1032,11894
ฟิลิปปินส์,1935,1335,4261,2705,10236
สวิสเซอร์แลนด์,1218,996,4582,3225,10021
ไทยลื้อ,805,438,3481,3785,8509
สวีเดน ,1106,1034,3269,2523,7932
อิตาลี,890,887,2874,2319,6970
แคนาดา,1268,886,2828,1624,6606
บริติช,1141,722,3118,1552,6533
เนเธอร์แลนด์,709,560,2344,1582,5195
นอรเวย์,661,590,2020,1492,4763
กะเหรี่ยง,398,383,1176,2347,4304
เบลเยี่ยม,537,473,1697,1241,3948
ไต้หวัน,945,269,2319,304,3837
มาเลเซีย,611,226,1740,498,3075
เดนมาร์ค,513,445,1153,826,2937
บุคคลพื้นที่สูง,302,252,875,1471,2900
สิงคโปร์,746,219,1427,325,2717
ออสเตรีย,402,367,998,750,2517
ฟินแลนด์ ,340,323,900,746,2309
ปากีสถาน,476,313,917,549,2255
ดัตช์,310,253,1004,610,2177
นิวซีแลนด์,366,240,857,417,1880
อิสราเอล,454,340,645,428,1867
ลั๊ว,208,128,630,882,1848
ยูเครน,607,649,291,246,1793
แอฟริกาใต้,395,271,661,369,1696
อาข่า,235,261,408,752,1656
เวียดนาม,513,98,691,209,1511
มอญ,154,89,590,618,1451
สเปน,273,201,458,305,1237
ฮ่องกง,521,162,408,75,1166
ตุรกี,289,190,392,229,1100
อิหร่าน,190,126,448,279,1043
อินโดนีเซีย,231,83,547,155,1016
ไอซ์แลนด์,171,121,437,272,1001
ลาหู่,127,91,293,396,907
บังคลาเทศ,181,106,401,207,895
โปแลนด์,239,264,222,149,874
