สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,61469,145689,8884,12992,229034
จีน,54954,13705,38256,8904,115819
ไทยใหญ่,2338,1801,13055,18758,35952
รัสเซีย,9349,11713,5524,4002,30588
อังกฤษ,4872,3858,13589,7788,30107
อเมริกัน,6469,4068,12680,6382,29599
เยอรมัน,4780,4423,10429,7804,27436
ญี่ปุ่น,3711,1798,14340,4955,24804
อินเดีย,3288,3001,9018,7197,22504
ฝรั่งเศส,3715,3754,8381,6305,22155
ลาว,9280,4907,3146,1202,18535
กัมพูชา,8256,5375,1658,1016,16305
ออสเตรเลีย,3295,2200,6663,3586,15744
เกาหลี ,3941,1480,7026,1145,13592
ฟิลิปปินส์,1960,1406,5043,3169,11578
สวิสเซอร์แลนด์,1379,1122,4967,3528,10996
ไทยลื้อ,780,525,3487,3539,8331
บริติช,1300,911,3976,2008,8195
สวีเดน ,1182,1179,3151,2437,7949
แคนาดา,1516,1105,3253,1873,7747
อิตาลี,954,972,3051,2473,7450
เนเธอร์แลนด์,812,769,2466,1658,5705
กะเหรี่ยง,753,886,1461,2454,5554
ไต้หวัน,1509,493,2983,461,5446
นอรเวย์,724,646,2027,1510,4907
เบลเยี่ยม,647,595,1860,1375,4477
มาเลเซีย,631,257,1923,566,3377
เดนมาร์ค,566,573,1216,869,3224
สิงคโปร์,814,275,1669,372,3130
ออสเตรีย,527,506,1089,848,2970
อิสราเอล,940,652,817,553,2962
ปากีสถาน,653,490,1070,633,2846
อาข่า,449,599,648,1021,2717
ยูเครน,895,922,464,366,2647
บุคคลพื้นที่สูง,180,139,834,1325,2478
ดัตช์,351,305,1051,664,2371
ฟินแลนด์ ,338,327,913,754,2332
นิวซีแลนด์,466,299,913,475,2153
แอฟริกาใต้,444,317,840,477,2078
เวียดนาม,812,143,809,226,1990
ลั๊ว,139,127,694,836,1796
ตุรกี,494,383,474,254,1605
มอญ,152,107,691,643,1593
โปแลนด์,409,624,309,226,1568
สเปน,332,298,540,371,1541
ฮ่องกง,490,209,693,145,1537
อินโดนีเซีย,277,97,602,182,1158
ลาหู่,151,141,386,478,1156
อิหร่าน,198,126,500,318,1142
บังคลาเทศ,274,174,458,228,1134
ไอริช  ,218,183,456,250,1107
ไอซ์แลนด์,210,163,435,265,1073
เนปาล,151,107,290,174,722
บราซิล,163,130,278,120,691
ลีซู,80,66,205,296,647
ฮังการี ,150,155,182,122,609
ไนจีเรีย ,185,50,295,68,598
คาซัคสถาน,167,185,128,69,549
ศรีลังกา,123,76,224,89,512
แคเมอรูน,98,40,248,93,479
เบลารุส,132,150,102,84,468
โปรตุเกส,102,87,138,57,384
กินี,32,30,172,149,383
สหราชอาณาจักร,133,142,52,35,362
ปะหร่อง,23,21,136,178,358
สาธารณรัฐเช็ก,90,97,100,67,354
อียิปต์,63,42,146,72,323
โรมาเนีย,84,65,92,48,289
เอสโตเนีย,79,89,57,61,286
คูเวต,48,79,92,55,274
ลักเซมเบิร์ก,53,43,103,68,267
วานูอาตู,95,14,102,19,230
กรีซ,37,34,88,68,227
ลิทัวเนีย,56,72,56,41,225
อุซเบกีสถาน,67,58,71,29,225
เคนยา,90,34,72,27,223
โมร็อกโก,46,77,57,41,221
เชคโกสโลวาเกีย,69,68,46,32,215
ม้ง,96,34,45,33,208
ฮอลแลนด์,12,6,121,64,203
จีนฮ่อ,19,13,83,81,196
สโลเวเนีย,40,45,53,43,181
อาร์เจนตินา,44,42,60,31,177
เซอร์เบีย,38,44,52,42,176
เม็กซิกัน,45,18,80,22,165
กาน่า,38,23,72,30,163
ซีเรีย,22,18,78,44,162
ลักเวีย,47,53,28,26,154
ภูฏาน,46,19,57,26,148
โคลัมเบีย,37,27,57,25,146
จอร์แดน ,33,16,66,26,141
เลบานอน,21,21,66,29,137
ชิลี ,40,26,46,22,134
อาฟกานิสถาน,28,21,55,29,133
บัลแกเรีย,32,28,43,26,129
สโลวัค,28,35,40,26,129
อาหรับเอมิเรตส์,39,39,25,11,114
ซาอุดิอาระเบีย,29,16,55,12,112
เชครีพับลิก,23,31,32,23,109
มัลดีฟ ,28,23,35,20,106
เปรู,27,12,49,17,105
โครเอเชีย,16,22,35,26,99
ยูกันดา,35,11,36,17,99
อิรัก ,16,7,48,26,97
บาห์เรน,19,25,37,15,96
ซิมบับเว,39,14,26,14,93
คีร์กิซ,32,25,16,11,84
ปะโอ,2,1,34,44,81
อาฟริกา,3,3,46,28,80
มอลโดวา,21,18,22,14,75
เยเมน,15,10,33,17,75
เซนต์คิตส์เนวิส,24,8,34,7,73
เฮเลนิค,12,16,23,15,66
แอลจีเรีย,16,11,27,8,62
เอธิโอเปีย,17,11,27,4,59
คะฉิ่น,7,4,15,31,57
คาเมรูน,9,4,30,9,52
อาร์มิเนีย,15,9,24,4,52
โอมาน,16,12,19,4,51
ตูนิเซีย,14,11,17,7,49
มาลี,3,3,24,18,48
มองโกเลีย,17,3,21,5,46
อาเซอร์ไบจาน,16,11,14,5,46
เติร์กเมนิสถาน,12,8,12,13,45
มอลต้า,12,4,20,8,44
มอริเชียส,14,6,12,9,41
ปาเลสติเนียน,8,4,14,13,39
โดนิมิกัน,11,3,19,4,37
เวเนซุเอลา,6,4,21,5,36
ซูดาน  ,4,2,24,5,35
บรูไน,7,2,19,2,30
