สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,25278,64141,6609,11734,107762
จีน,15683,3490,26029,6744,51946
ไทยใหญ่,1920,1118,11576,19202,33816
อังกฤษ,3180,2409,13498,7307,26394
ญี่ปุ่น,3407,1331,14894,4802,24434
อเมริกัน,4182,2394,10915,5308,22799
เยอรมัน,3151,2671,9098,6763,21683
รัสเซีย,5586,7984,2882,1938,18390
อินเดีย,2283,1822,7582,6068,17755
ฝรั่งเศส,2313,1984,7386,5460,17143
ออสเตรเลีย,1967,1229,6095,3186,12477
ลาว,5255,2370,2728,1167,11520
กัมพูชา,5521,3816,1125,885,11347
เกาหลี ,2416,673,6489,1012,10590
สวิสเซอร์แลนด์,1021,842,4458,3103,9424
ฟิลิปปินส์,1616,1066,4011,2592,9285
ไทยลื้อ,549,301,3445,3955,8250
สวีเดน ,1076,987,3318,2541,7922
ไร้สัญชาติ,712,482,2447,3794,7435
อิตาลี,762,754,2865,2302,6683
แคนาดา,1030,694,2726,1560,6010
บริติช,1029,641,2767,1362,5799
เนเธอร์แลนด์,631,467,2316,1565,4979
นอรเวย์,640,548,2053,1509,4750
กะเหรี่ยง,303,276,1187,2605,4371
เบลเยี่ยม,455,376,1656,1214,3701
ไต้หวัน,767,190,2143,257,3357
บุคคลพื้นที่สูง,249,210,966,1571,2996
มาเลเซีย,551,200,1717,479,2947
เดนมาร์ค,443,388,1161,829,2821
สิงคโปร์,574,174,1395,303,2446
ออสเตรีย,316,285,970,720,2291
ฟินแลนด์ ,297,263,907,754,2221
ดัตช์,266,208,959,570,2003
ปากีสถาน,293,180,883,523,1879
นิวซีแลนด์,298,181,858,419,1756
ลั๊ว,158,96,598,902,1754
อิสราเอล,315,260,620,396,1591
แอฟริกาใต้,342,199,595,330,1466
มอญ,127,74,583,628,1412
เวียดนาม,401,68,664,212,1345
อาข่า,170,150,313,603,1236
ยูเครน,311,379,280,249,1219
สเปน,215,155,430,285,1085
ไอซ์แลนด์,149,115,440,270,974
อิหร่าน,139,87,451,282,959
ฮ่องกง,446,125,306,52,929
อินโดนีเซีย,205,68,502,139,914
ตุรกี,177,116,384,228,905
บังคลาเทศ,129,65,398,204,796
ไอริช  ,133,95,344,184,756
โปแลนด์,174,185,209,133,701
ลาหู่,94,61,215,314,684
เนปาล,90,33,251,166,540
บราซิล,137,69,216,95,517
แคเมอรูน,60,19,227,114,420
ลีซู,50,45,126,193,414
ไนจีเรีย ,71,23,251,58,403
ฮังการี ,73,68,156,106,403
ศรีลังกา,75,43,206,62,386
กินี,14,5,164,150,333
คาซัคสถาน,81,68,93,57,299
เบลารุส,80,91,57,57,285
ฮอลแลนด์,18,13,157,85,273
โปรตุเกส,66,40,111,44,261
อียิปต์,47,26,120,55,248
ปะหร่อง,21,14,81,122,238
กรีซ,29,27,90,68,214
สาธารณรัฐเช็ก,46,40,70,44,200
จีนฮ่อ,13,4,93,86,196
ลักเซมเบิร์ก,30,23,86,56,195
คูเวต,45,47,59,42,193
เอสโตเนีย,47,68,29,34,178
โรมาเนีย,37,24,75,36,172
ลิทัวเนีย,33,45,47,33,158
สโลเวเนีย,32,30,41,39,142
วานูอาตู,97,14,18,5,134
เม็กซิกัน,34,11,64,21,130
ซีเรีย,13,6,66,40,125
กาน่า,17,5,63,34,119
เคนยา,41,12,48,18,119
อุซเบกีสถาน,24,14,61,20,119
เซอร์เบีย,26,24,38,30,118
โมร็อกโก,19,15,48,32,114
อาฟริกา,9,5,55,41,110
อาร์เจนตินา,21,13,51,24,109
โคลัมเบีย,23,13,48,20,104
เชคโกสโลวาเกีย,17,14,42,31,104
อาฟกานิสถาน,35,24,30,14,103
ภูฏาน,36,11,31,24,102
จอร์แดน ,16,9,52,17,94
บาห์เรน,26,19,33,15,93
เลบานอน,16,7,51,19,93
ม้ง,8,3,43,35,89
อิรัก ,15,5,44,24,88
ชิลี ,15,16,33,20,84
ลักเวีย,21,22,23,16,82
สโลวัค,15,14,32,18,79
โครเอเชีย,8,13,35,21,77
ซาอุดิอาระเบีย,30,8,28,10,76
สหราชอาณาจักร,4,2,44,26,76
เปรู,16,5,40,12,73
เชครีพับลิก,22,15,17,12,66
อาหรับเอมิเรตส์,25,16,17,4,62
บัลแกเรีย,17,10,22,12,61
ยูกันดา,19,6,23,13,61
คาเมรูน,6,2,36,14,58
ปะโอ,5,3,19,30,57
เยเมน,19,6,20,11,56
มาลี,5,2,27,21,55
มัลดีฟ ,15,5,19,11,50
ซิมบับเว,17,10,15,7,49
มอลโดวา,9,9,14,11,43
โอมาน,15,7,14,4,40
เติร์กเมนิสถาน,6,7,15,11,39
แอลจีเรีย,8,3,19,8,38
เฮเลนิค,10,8,12,8,38
คีร์กิซ,9,7,11,9,36
ซูดาน  ,2,1,23,6,32
เวเนซุเอลา,9,1,17,5,32
มองโกเลีย,18,3,10,0,31
เซนต์คิตส์เนวิส,19,2,7,2,30
มอลต้า,7,5,14,2,28
อาร์มิเนีย,3,3,20,2,28
เอธิโอเปีย,7,0,18,3,28
อาเซอร์ไบจาน,4,4,12,5,25
อุรุกวัย,2,12,8,3,25
ตูนิเซีย,3,1,13,7,24
ปาเลสติเนียน,3,0,9,11,23
คะฉิ่น,5,3,4,10,22
โดนิมิกัน,6,1,11,4,22
ลิเบีย,9,1,10,2,22
มอริเชียส,1,2,12,6,21
บรูไน,7,2,11,0,20
บอสเนีย,6,5,6,3,20
มาดากัสกา,0,1,12,7,20
แทนซาเนีย,4,2,9,3,18
เอกวาดอร์,6,7,4,1,18
คองโก,4,3,6,3,16
อูกันตา,6,1,4,5,16
ไอเวอรี่โคสต์,3,1,9,3,16
คิวบา,6,1,6,2,15
