สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,60536,141442,8635,13092,223705
จีน,50633,12671,36060,8597,107961
ไทยใหญ่,2594,1943,13441,19387,37365
รัสเซีย,9436,11718,5096,3724,29974
อังกฤษ,4657,3694,13536,7718,29605
อเมริกัน,6257,3915,12393,6206,28771
เยอรมัน,4570,4188,10241,7662,26661
ญี่ปุ่น,3775,1807,14278,4884,24744
อินเดีย,3338,2919,8788,6968,22013
ฝรั่งเศส,3512,3453,8200,6176,21341
ลาว,8736,4433,3098,1210,17477
กัมพูชา,8495,5608,1597,985,16685
ออสเตรเลีย,3123,2105,6537,3521,15286
เกาหลี ,3913,1419,6919,1106,13357
ฟิลิปปินส์,1966,1420,4919,3106,11411
สวิสเซอร์แลนด์,1373,1123,4875,3462,10833
ไทยลื้อ,913,576,3988,4008,9485
สวีเดน ,1171,1168,3149,2446,7934
บริติช,1202,839,3862,1948,7851
แคนาดา,1453,1043,3176,1835,7507
อิตาลี,948,967,3019,2448,7382
เนเธอร์แลนด์,791,719,2450,1642,5602
กะเหรี่ยง,735,813,1392,2421,5361
ไต้หวัน,1325,419,2866,422,5032
นอรเวย์,723,642,2006,1483,4854
เบลเยี่ยม,618,553,1816,1349,4336
มาเลเซีย,601,242,1908,560,3311
เดนมาร์ค,544,538,1199,859,3140
สิงคโปร์,795,255,1624,371,3045
ออสเตรีย,500,487,1077,827,2891
บุคคลพื้นที่สูง,220,174,915,1443,2752
ปากีสถาน,602,455,1047,618,2722
อิสราเอล,813,578,771,524,2686
อาข่า,436,564,624,998,2622
ยูเครน,854,845,421,342,2462
ดัตช์,338,290,1044,652,2324
ฟินแลนด์ ,349,338,895,740,2322
นิวซีแลนด์,444,289,907,465,2105
แอฟริกาใต้,417,316,819,458,2010
ลั๊ว,181,138,706,868,1893
เวียดนาม,725,135,782,220,1862
มอญ,159,108,671,639,1577
ตุรกี,465,341,460,252,1518
สเปน,313,270,523,361,1467
ฮ่องกง,484,206,641,132,1463
โปแลนด์,355,530,288,208,1381
อินโดนีเซีย,288,101,592,176,1157
ลาหู่,145,144,373,455,1117
อิหร่าน,197,117,480,306,1100
บังคลาเทศ,249,155,443,224,1071
ไอริช  ,217,178,429,238,1062
ไอซ์แลนด์,201,149,430,257,1037
เนปาล,158,107,279,170,714
บราซิล,166,126,264,109,665
ลีซู,79,69,207,288,643
ฮังการี ,130,147,182,116,575
ไนจีเรีย ,174,45,285,70,574
คาซัคสถาน,162,161,121,68,512
ศรีลังกา,116,70,220,88,494
แคเมอรูน,79,37,250,98,464
เบลารุส,124,142,96,81,443
กินี,40,34,164,142,380
โปรตุเกส,95,75,136,55,361
ปะหร่อง,27,23,124,164,338
สาธารณรัฐเช็ก,90,91,91,58,330
อียิปต์,56,28,143,71,298
เอสโตเนีย,78,83,55,60,276
โรมาเนีย,79,59,87,47,272
สหราชอาณาจักร,98,101,41,28,268
คูเวต,46,67,89,55,257
ลักเซมเบิร์ก,49,42,100,64,255
กรีซ,32,33,89,69,223
ลิทัวเนีย,54,72,54,39,219
วานูอาตู,90,13,95,19,217
อุซเบกีสถาน,59,52,71,30,212
ฮอลแลนด์,13,8,124,65,210
โมร็อกโก,47,63,56,39,205
จีนฮ่อ,12,11,95,82,200
เคนยา,79,31,66,22,198
เชคโกสโลวาเกีย,62,59,45,31,197
สโลเวเนีย,39,45,49,41,174
ม้ง,69,21,43,34,167
เม็กซิกัน,46,18,78,24,166
อาร์เจนตินา,40,34,57,31,162
ซีเรีย,26,13,73,42,154
เซอร์เบีย,29,35,49,41,154
ลักเวีย,46,47,30,27,150
กาน่า,29,18,72,29,148
จอร์แดน ,31,18,66,24,139
ภูฏาน,41,18,53,26,138
โคลัมเบีย,31,23,56,25,135
อาฟกานิสถาน,28,20,51,29,128
เลบานอน,20,19,62,23,124
ชิลี ,34,23,43,23,123
บัลแกเรีย,28,27,41,22,118
สโลวัค,26,25,39,25,115
เชครีพับลิก,25,33,31,21,110
มัลดีฟ ,33,24,32,17,106
โครเอเชีย,17,23,37,27,104
เปรู,25,10,50,18,103
อาหรับเอมิเรตส์,32,32,23,9,96
อิรัก ,13,5,47,27,92
ซาอุดิอาระเบีย,25,16,39,11,91
บาห์เรน,16,22,38,15,91
ยูกันดา,30,9,36,16,91
ซิมบับเว,32,13,25,14,84
อาฟริกา,3,3,47,30,83
คีร์กิซ,22,24,17,12,75
เซนต์คิตส์เนวิส,23,9,31,7,70
ปะโอ,4,0,25,40,69
มอลโดวา,19,17,20,13,69
เยเมน,12,8,29,16,65
แอลจีเรีย,19,11,24,8,62
เฮเลนิค,9,15,23,15,62
คะฉิ่น,6,6,16,30,58
เอธิโอเปีย,16,8,26,3,53
โอมาน,18,11,17,4,50
อาร์มิเนีย,14,9,22,3,48
ตูนิเซีย,14,8,16,9,47
คาเมรูน,7,2,29,8,46
มอลต้า,13,5,20,8,46
อาเซอร์ไบจาน,15,9,16,6,46
เติร์กเมนิสถาน,11,9,12,13,45
มองโกเลีย,14,7,20,4,45
มาลี,3,2,22,17,44
มอริเชียส,14,6,12,8,40
ปาเลสติเนียน,8,4,14,13,39
เวเนซุเอลา,7,4,23,4,38
ซูดาน  ,2,2,24,5,33
โดนิมิกัน,10,1,18,4,33
บรูไน,8,2,18,2,30
ลิเบีย,7,2,17,3,29
เอกวาดอร์,10,5,9,4,28
จอร์เจีย,11,10,4,2,27
อูกันตา,8,6,6,5,25
แทนซาเนีย,4,4,12,4,24
มาดากัสกา,7,2,10,5,24
บอสเนีย,6,6,6,5,23
ฟิจิ,8,2,12,1,23
คิวบา,6,5,8,2,21
เมาลิเทียส,9,6,5,1,21
ลิกเตนสไตน์,6,5,6,4,21
คองโก,5,3,8,4,20
ไซปรัส,7,5,5,2,19
อุรุกวัย,3,3,9,4,19
