สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,30920,77699,6937,12980,128536
จีน,22882,5372,26692,6787,61733
ไทยใหญ่,2199,1253,11962,19579,34993
อังกฤษ,3869,2972,13260,7225,27326
ญี่ปุ่น,4051,1717,14594,4745,25107
อเมริกัน,4944,2981,10975,5307,24207
รัสเซีย,7759,10674,2935,1971,23339
เยอรมัน,3612,3071,9072,6738,22493
อินเดีย,2925,2379,7690,6106,19100
ฝรั่งเศส,2663,2292,7431,5511,17897
ออสเตรเลีย,2408,1531,6031,3177,13147
ลาว,6310,2805,2770,1165,13050
กัมพูชา,6434,4465,1148,889,12936
เกาหลี ,2991,865,6452,1021,11329
ฟิลิปปินส์,1912,1289,4130,2661,9992
สวิสเซอร์แลนด์,1162,949,4471,3129,9711
ไทยลื้อ,651,342,3487,3941,8421
สวีเดน ,1157,1056,3188,2444,7845
อิตาลี,867,844,2840,2281,6832
บริติช,1157,726,2967,1471,6321
แคนาดา,1200,811,2732,1560,6303
เนเธอร์แลนด์,708,541,2287,1550,5086
นอรเวย์,702,602,1959,1438,4701
กะเหรี่ยง,367,338,1219,2592,4516
เบลเยี่ยม,506,420,1669,1223,3818
ไต้หวัน,904,237,2249,281,3671
บุคคลพื้นที่สูง,297,243,962,1583,3085
มาเลเซีย,610,216,1726,492,3044
เดนมาร์ค,498,433,1123,797,2851
สิงคโปร์,708,212,1398,308,2626
ออสเตรีย,359,322,956,708,2345
ฟินแลนด์ ,327,288,877,730,2222
ปากีสถาน,414,267,897,539,2117
ดัตช์,299,235,960,574,2068
นิวซีแลนด์,353,230,849,413,1845
ลั๊ว,176,108,606,900,1790
อิสราเอล,404,314,640,412,1770
แอฟริกาใต้,382,252,627,349,1610
ยูเครน,486,544,279,241,1550
มอญ,150,83,595,645,1473
เวียดนาม,476,85,678,211,1450
อาข่า,203,180,343,652,1378
สเปน,273,204,435,290,1202
ฮ่องกง,510,141,355,64,1070
อิหร่าน,174,118,450,283,1025
ไอซ์แลนด์,175,130,440,264,1009
ตุรกี,243,152,378,219,992
อินโดนีเซีย,239,83,514,145,981
บังคลาเทศ,170,87,403,204,864
ไอริช  ,172,129,349,191,841
โปแลนด์,220,222,209,135,786
ลาหู่,118,82,239,346,785
เนปาล,119,54,249,158,580
บราซิล,164,95,218,97,574
ลีซู,60,59,139,209,467
ไนจีเรีย ,95,24,253,59,431
ฮังการี ,83,79,158,109,429
แคเมอรูน,57,20,229,109,415
ศรีลังกา,93,53,198,65,409
กินี,26,12,167,154,359
คาซัคสถาน,108,91,91,54,344
เบลารุส,98,113,59,56,326
โปรตุเกส,83,54,118,47,302
อียิปต์,58,32,121,55,266
ฮอลแลนด์,17,14,152,83,266
ปะหร่อง,26,17,86,129,258
คูเวต,55,60,67,46,228
สาธารณรัฐเช็ก,55,51,71,44,221
ลักเซมเบิร์ก,42,32,88,55,217
กรีซ,30,26,86,66,208
จีนฮ่อ,16,8,89,86,199
เอสโตเนีย,49,75,33,35,192
โรมาเนีย,48,31,74,37,190
ลิทัวเนีย,39,51,46,34,170
วานูอาตู,121,18,22,6,167
สโลเวเนีย,35,32,42,39,148
เม็กซิกัน,42,13,63,20,138
ซีเรีย,21,9,66,39,135
โมร็อกโก,25,25,51,34,135
เคนยา,42,21,53,18,134
เซอร์เบีย,31,29,40,33,133
อุซเบกีสถาน,31,22,57,18,128
กาน่า,22,7,61,33,123
อาร์เจนตินา,24,13,53,26,116
โคลัมเบีย,28,14,51,22,115
อาฟกานิสถาน,37,27,35,16,115
เชคโกสโลวาเกีย,26,16,39,30,111
ภูฏาน,35,10,35,26,106
บาห์เรน,29,23,38,15,105
จอร์แดน ,21,14,52,17,104
อาฟริกา,8,4,50,38,100
เลบานอน,15,10,54,20,99
ชิลี ,23,17,35,20,95
ม้ง,11,9,41,33,94
ลักเวีย,27,29,22,16,94
ซาอุดิอาระเบีย,34,11,34,10,89
อิรัก ,13,5,43,24,85
โครเอเชีย,9,10,37,27,83
เปรู,21,6,40,15,82
สโลวัค,13,11,35,21,80
มัลดีฟ ,25,16,23,13,77
สหราชอาณาจักร,4,1,43,27,75
อาหรับเอมิเรตส์,29,22,18,4,73
บัลแกเรีย,15,11,29,16,71
เชครีพับลิก,22,18,18,11,69
ยูกันดา,21,5,24,14,64
ปะโอ,7,3,20,33,63
เยเมน,17,6,22,14,59
ซิมบับเว,21,10,18,9,58
มาลี,5,3,28,21,57
คาเมรูน,5,0,33,13,51
โอมาน,19,10,15,4,48
เติร์กเมนิสถาน,10,12,14,10,46
มอลโดวา,13,11,13,9,46
เฮเลนิค,12,11,13,9,45
คีร์กิซ,9,11,11,11,42
แอลจีเรีย,11,3,20,8,42
