สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,23593,61088,6486,11190,102357
จีน,12318,2502,25538,6672,47030
ไทยใหญ่,1730,1009,11466,19822,34027
อังกฤษ,2762,2038,13601,7375,25776
ญี่ปุ่น,3102,1142,14958,4796,23998
อเมริกัน,3746,2092,10809,5241,21888
เยอรมัน,2665,2228,8979,6668,20540
อินเดีย,2062,1583,7433,5977,17055
ฝรั่งเศส,2048,1708,7318,5397,16471
รัสเซีย,3326,4125,2882,1925,12258
ออสเตรเลีย,1689,1018,6128,3210,12045
ลาว,4815,2204,2704,1205,10928
กัมพูชา,5103,3712,1132,893,10840
เกาหลี ,2062,571,6472,990,10095
สวิสเซอร์แลนด์,910,757,4426,3068,9161
ฟิลิปปินส์,1469,958,3884,2529,8840
ไทยลื้อ,477,263,3444,4047,8231
สวีเดน ,905,811,3364,2580,7660
ไร้สัญชาติ,650,452,2398,3827,7327
อิตาลี,642,606,2857,2300,6405
แคนาดา,918,599,2702,1558,5777
บริติช,936,555,2611,1291,5393
เนเธอร์แลนด์,562,427,2321,1565,4875
นอรเวย์,543,449,2068,1518,4578
กะเหรี่ยง,274,223,1183,2689,4369
เบลเยี่ยม,413,319,1627,1196,3555
ไต้หวัน,688,154,2056,243,3141
บุคคลพื้นที่สูง,217,194,975,1630,3016
มาเลเซีย,529,188,1665,463,2845
เดนมาร์ค,380,334,1165,836,2715
สิงคโปร์,507,159,1369,297,2332
ฟินแลนด์ ,268,239,913,764,2184
ออสเตรีย,265,237,957,709,2168
ดัตช์,235,189,947,564,1935
ปากีสถาน,261,158,882,538,1839
ลั๊ว,138,85,585,905,1713
นิวซีแลนด์,259,161,845,409,1674
อิสราเอล,295,247,595,385,1522
มอญ,108,61,590,678,1437
แอฟริกาใต้,301,182,578,322,1383
เวียดนาม,359,61,654,215,1289
อาข่า,150,139,283,558,1130
สเปน,201,147,412,269,1029
ยูเครน,218,246,274,253,991
ไอซ์แลนด์,138,102,443,275,958
อิหร่าน,121,64,448,282,915
อินโดนีเซีย,196,62,496,139,893
ตุรกี,164,93,385,231,873
