สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,25922,65387,6645,12077,110031
จีน,16920,3752,26172,6766,53610
ไทยใหญ่,1978,1144,11662,19298,34082
อังกฤษ,3324,2517,13451,7288,26580
ญี่ปุ่น,3562,1415,14868,4802,24647
อเมริกัน,4323,2489,10913,5297,23022
เยอรมัน,3230,2733,9074,6747,21784
รัสเซีย,5992,8502,2890,1949,19333
อินเดีย,2396,1913,7611,6074,17994
ฝรั่งเศส,2374,2045,7380,5455,17254
ออสเตรเลีย,2060,1293,6080,3180,12613
ลาว,5423,2431,2734,1167,11755
กัมพูชา,5639,3866,1125,883,11513
เกาหลี ,2542,717,6498,1021,10778
สวิสเซอร์แลนด์,1042,862,4467,3106,9477
ฟิลิปปินส์,1701,1133,4025,2605,9464
ไทยลื้อ,566,308,3456,3959,8289
สวีเดน ,1090,993,3287,2515,7885
ไร้สัญชาติ,737,498,2467,3792,7494
อิตาลี,782,768,2861,2300,6711
แคนาดา,1051,709,2735,1568,6063
บริติช,1056,654,2795,1381,5886
เนเธอร์แลนด์,648,484,2301,1556,4989
นอรเวย์,645,552,2038,1495,4730
กะเหรี่ยง,307,284,1191,2612,4394
เบลเยี่ยม,459,382,1661,1220,3722
ไต้หวัน,790,196,2178,265,3429
บุคคลพื้นที่สูง,261,217,972,1563,3013
มาเลเซีย,571,201,1731,484,2987
เดนมาร์ค,453,398,1150,827,2828
สิงคโปร์,595,182,1395,305,2477
ออสเตรีย,326,291,966,719,2302
ฟินแลนด์ ,310,271,905,750,2236
ดัตช์,275,208,955,571,2009
ปากีสถาน,316,201,889,525,1931
นิวซีแลนด์,315,188,854,418,1775
ลั๊ว,162,98,596,901,1757
อิสราเอล,336,274,627,401,1638
แอฟริกาใต้,355,208,605,336,1504
มอญ,130,75,585,630,1420
เวียดนาม,432,74,666,216,1388
ยูเครน,336,406,285,250,1277
อาข่า,177,152,318,612,1259
สเปน,229,171,437,289,1126
ไอซ์แลนด์,152,121,437,267,977
อิหร่าน,149,92,448,280,969
ฮ่องกง,454,128,317,55,954
ตุรกี,190,124,387,226,927
อินโดนีเซีย,210,71,504,137,922
บังคลาเทศ,131,68,399,204,802
ไอริช  ,143,102,346,181,772
โปแลนด์,185,192,208,133,718
ลาหู่,94,62,217,319,692
เนปาล,93,35,251,164,543
บราซิล,142,74,217,95,528
ลีซู,53,49,130,197,429
แคเมอรูน,60,17,229,116,422
ไนจีเรีย ,76,24,252,58,410
ฮังการี ,79,71,153,105,408
ศรีลังกา,78,45,203,59,385
กินี,15,5,165,152,337
เบลารุส,89,101,57,57,304
คาซัคสถาน,81,70,95,57,303
ฮอลแลนด์,19,13,156,86,274
