สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,24635,63477,6479,11159,105750
จีน,13076,2761,25612,6660,48109
ไทยใหญ่,1789,1046,11272,18926,33033
อังกฤษ,2902,2158,13588,7374,26022
ญี่ปุ่น,3210,1202,14929,4801,24142
อเมริกัน,3920,2212,10853,5259,22244
เยอรมัน,2880,2413,9014,6691,20998
อินเดีย,2149,1672,7480,6005,17306
ฝรั่งเศส,2154,1818,7349,5419,16740
รัสเซีย,4036,5433,2880,1926,14275
ออสเตรเลีย,1768,1080,6130,3209,12187
ลาว,5003,2296,2716,1182,11197
กัมพูชา,5328,3853,1132,878,11191
เกาหลี ,2198,611,6473,995,10277
สวิสเซอร์แลนด์,962,790,4431,3076,9259
ฟิลิปปินส์,1523,1003,3914,2544,8984
ไทยลื้อ,497,280,3401,3957,8135
สวีเดน ,980,897,3360,2571,7808
ไร้สัญชาติ,661,465,2402,3778,7306
อิตาลี,679,649,2856,2299,6483
แคนาดา,972,637,2710,1563,5882
บริติช,991,601,2645,1309,5546
เนเธอร์แลนด์,595,443,2319,1564,4921
นอรเวย์,587,498,2070,1521,4676
กะเหรี่ยง,286,241,1156,2583,4266
เบลเยี่ยม,433,342,1634,1203,3612
ไต้หวัน,722,164,2077,248,3211
บุคคลพื้นที่สูง,229,203,961,1584,2977
มาเลเซีย,535,195,1676,464,2870
เดนมาร์ค,393,344,1163,838,2738
สิงคโปร์,542,168,1378,295,2383
ออสเตรีย,295,265,968,716,2244
ฟินแลนด์ ,292,260,903,756,2211
ดัตช์,241,189,952,567,1949
ปากีสถาน,275,162,884,532,1853
ลั๊ว,141,91,592,901,1725
นิวซีแลนด์,273,171,851,411,1706
อิสราเอล,298,251,605,392,1546
แอฟริกาใต้,320,186,581,322,1409
มอญ,113,63,573,622,1371
เวียดนาม,368,61,648,211,1288
อาข่า,151,138,293,572,1154
ยูเครน,242,281,277,251,1051
สเปน,211,152,410,272,1045
ไอซ์แลนด์,142,105,442,272,961
อิหร่าน,127,71,443,282,923
อินโดนีเซีย,201,68,498,139,906
ฮ่องกง,429,117,294,51,891
ตุรกี,171,102,383,232,888
บังคลาเทศ,120,51,385,195,751
ไอริช  ,108,72,341,180,701
โปแลนด์,147,152,201,132,632
ลาหู่,88,62,195,285,630
เนปาล,93,33,242,161,529
บราซิล,128,55,214,95,492
แคเมอรูน,62,16,224,114,416
ไนจีเรีย ,66,20,249,58,393
ลีซู,45,36,121,185,387
ฮังการี ,65,54,152,102,373
ศรีลังกา,71,38,200,61,370
กินี,11,4,164,152,331
ฮอลแลนด์,19,10,159,85,273
คาซัคสถาน,69,49,90,57,265
เบลารุส,61,64,58,58,241
โปรตุเกส,60,30,109,42,241
อียิปต์,45,24,121,51,241
ปะหร่อง,19,13,76,114,222
กรีซ,26,24,90,68,208
คูเวต,41,51,59,42,193
ลักเซมเบิร์ก,28,20,88,55,191
จีนฮ่อ,9,2,90,85,186
สาธารณรัฐเช็ก,33,31,69,43,176
โรมาเนีย,34,22,72,36,164
เอสโตเนีย,46,55,24,35,160
ลิทัวเนีย,23,35,46,32,136
สโลเวเนีย,28,27,41,39,135
วานูอาตู,90,17,17,4,128
ซีเรีย,14,7,66,40,127
เม็กซิกัน,32,12,62,21,127
กาน่า,19,6,63,32,120
อาฟริกา,9,6,60,44,119
เคนยา,38,11,46,18,113
อุซเบกีสถาน,23,12,59,19,113
โมร็อกโก,21,13,45,32,111
เซอร์เบีย,24,20,37,28,109
อาร์เจนตินา,21,15,49,23,108
เชคโกสโลวาเกีย,15,14,42,30,101
อาฟกานิสถาน,34,24,29,14,101
โคลัมเบีย,23,13,45,19,100
ภูฏาน,34,11,30,25,100
บาห์เรน,28,19,31,15,93
เลบานอน,16,6,49,18,89
อิรัก ,16,6,43,23,88
ม้ง,6,3,44,34,87
จอร์แดน ,15,8,46,14,83
โครเอเชีย,9,14,35,20,78
ชิลี ,13,12,33,19,77
สหราชอาณาจักร,3,2,45,26,76
เปรู,14,7,39,12,72
ลักเวีย,16,16,22,16,70
