สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,25180,64175,6582,11509,107446
จีน,14780,3280,25935,6736,50731
ไทยใหญ่,1876,1099,11508,19159,33642
อังกฤษ,3081,2315,13541,7339,26276
ญี่ปุ่น,3316,1279,14955,4810,24360
อเมริกัน,4103,2359,10924,5299,22685
เยอรมัน,3089,2607,9085,6753,21534
อินเดีย,2237,1769,7581,6067,17654
รัสเซีย,5205,7459,2887,1932,17483
ฝรั่งเศส,2282,1957,7408,5460,17107
ออสเตรเลีย,1886,1183,6111,3200,12380
ลาว,5181,2362,2731,1181,11455
กัมพูชา,5507,3844,1126,888,11365
เกาหลี ,2319,648,6495,1008,10470
สวิสเซอร์แลนด์,1004,832,4456,3098,9390
ฟิลิปปินส์,1581,1023,3977,2579,9160
ไทยลื้อ,531,295,3431,3966,8223
สวีเดน ,1050,969,3352,2571,7942
ไร้สัญชาติ,699,473,2434,3789,7395
อิตาลี,752,736,2868,2306,6662
แคนาดา,1011,668,2728,1552,5959
บริติช,1002,629,2739,1351,5721
เนเธอร์แลนด์,626,467,2324,1572,4989
นอรเวย์,626,539,2064,1515,4744
กะเหรี่ยง,298,271,1183,2605,4357
เบลเยี่ยม,453,381,1651,1210,3695
ไต้หวัน,753,181,2130,258,3322
บุคคลพื้นที่สูง,243,206,968,1580,2997
มาเลเซีย,555,202,1703,470,2930
เดนมาร์ค,424,371,1163,833,2791
สิงคโปร์,567,170,1393,305,2435
ออสเตรีย,319,283,968,718,2288
ฟินแลนด์ ,290,259,911,760,2220
ดัตช์,260,204,958,573,1995
ปากีสถาน,289,178,885,530,1882
ลั๊ว,155,94,594,898,1741
นิวซีแลนด์,286,174,857,417,1734
อิสราเอล,309,255,618,397,1579
แอฟริกาใต้,339,196,588,327,1450
มอญ,126,71,580,628,1405
เวียดนาม,392,67,662,211,1332
อาข่า,165,147,309,600,1221
ยูเครน,294,357,279,251,1181
สเปน,213,152,429,280,1074
ไอซ์แลนด์,145,114,441,272,972
อิหร่าน,135,84,450,282,951
ฮ่องกง,434,122,305,51,912
อินโดนีเซีย,195,64,501,141,901
ตุรกี,174,112,385,229,900
บังคลาเทศ,123,64,394,204,785
ไอริช  ,128,89,343,181,741
โปแลนด์,168,175,208,133,684
ลาหู่,92,59,210,307,668
เนปาล,91,33,247,165,536
บราซิล,137,65,215,97,514
แคเมอรูน,57,17,231,115,420
ไนจีเรีย ,68,23,252,58,401
ลีซู,49,37,124,191,401
ฮังการี ,70,63,157,106,396
ศรีลังกา,75,42,205,63,385
กินี,13,5,164,150,332
คาซัคสถาน,74,63,92,55,284
เบลารุส,74,84,59,57,274
ฮอลแลนด์,19,12,158,84,273
โปรตุเกส,64,38,108,42,252
อียิปต์,46,25,121,55,247
ปะหร่อง,19,14,80,122,235
กรีซ,28,27,89,67,211
จีนฮ่อ,14,4,92,86,196
ลักเซมเบิร์ก,29,21,88,56,194
สาธารณรัฐเช็ก,41,37,70,44,192
คูเวต,43,50,58,40,191
เอสโตเนีย,49,64,26,34,173
โรมาเนีย,36,24,74,35,169
ลิทัวเนีย,32,43,47,33,155
สโลเวเนีย,31,30,42,40,143
วานูอาตู,93,15,18,5,131
เม็กซิกัน,34,11,63,21,129
ซีเรีย,13,6,66,39,124
