สัญชาติ,รถยนต์ส่วนบุคคลชั่วคร,จยย.ส่วนบุคคลชั่วคราว,รถยนต์ส่วนบุคคล,จยย.ส่วนบุคคล,จำนวนรวม
เมียนมา ,28365,71570,6787,12522,119244
จีน,20533,4703,26411,6766,58413
ไทยใหญ่,2116,1199,11822,19480,34617
อังกฤษ,3681,2820,13331,7249,27081
ญี่ปุ่น,3946,1638,14701,4760,25045
อเมริกัน,4751,2819,10890,5276,23736
เยอรมัน,3447,2932,9040,6721,22140
รัสเซีย,7066,9728,2900,1948,21642
อินเดีย,2742,2212,7649,6076,18679
ฝรั่งเศส,2560,2185,7411,5464,17620
ออสเตรเลีย,2292,1438,6022,3171,12923
ลาว,5951,2642,2737,1166,12496
กัมพูชา,6088,4164,1126,886,12264
เกาหลี ,2843,817,6444,1012,11116
ฟิลิปปินส์,1847,1215,4072,2632,9766
สวิสเซอร์แลนด์,1114,915,4459,3110,9598
ไทยลื้อ,622,322,3465,3955,8364
สวีเดน ,1132,1028,3214,2460,7834
ไร้สัญชาติ,812,561,2462,3758,7593
อิตาลี,845,822,2838,2275,6780
แคนาดา,1150,767,2706,1548,6171
บริติช,1138,714,2888,1420,6160
เนเธอร์แลนด์,693,521,2289,1547,5050
นอรเวย์,685,580,1987,1461,4713
กะเหรี่ยง,333,316,1203,2607,4459
เบลเยี่ยม,486,409,1661,1214,3770
ไต้หวัน,868,228,2215,270,3581
บุคคลพื้นที่สูง,285,235,968,1556,3044
มาเลเซีย,614,217,1722,489,3042
เดนมาร์ค,476,422,1136,810,2844
สิงคโปร์,663,206,1405,311,2585
ออสเตรีย,347,308,954,709,2318
ฟินแลนด์ ,318,280,887,739,2224
ปากีสถาน,377,245,898,535,2055
ดัตช์,290,224,959,567,2040
นิวซีแลนด์,346,216,859,418,1839
ลั๊ว,173,104,597,896,1770
อิสราเอล,366,297,635,409,1707
แอฟริกาใต้,376,235,619,341,1571
มอญ,140,79,595,640,1454
ยูเครน,426,496,279,247,1448
เวียดนาม,468,77,664,210,1419
อาข่า,192,157,333,634,1316
สเปน,253,184,428,285,1150
ฮ่องกง,484,131,338,62,1015
อิหร่าน,165,109,450,288,1012
ไอซ์แลนด์,164,125,436,264,989
อินโดนีเซีย,228,77,513,143,961
ตุรกี,214,140,381,221,956
บังคลาเทศ,158,84,399,199,840
ไอริช  ,161,118,347,187,813
โปแลนด์,199,208,210,135,752
ลาหู่,112,74,226,334,746
เนปาล,106,41,250,161,558
บราซิล,152,83,215,96,546
ลีซู,56,55,133,200,444
ไนจีเรีย ,87,24,253,60,424
แคเมอรูน,63,18,226,111,418
ฮังการี ,81,71,155,107,414
ศรีลังกา,85,49,196,62,392
กินี,19,8,167,153,347
คาซัคสถาน,96,80,93,57,326
เบลารุส,97,106,56,53,312
โปรตุเกส,80,52,112,45,289
ฮอลแลนด์,19,13,155,85,272
อียิปต์,55,32,123,56,266
ปะหร่อง,24,17,82,125,248
คูเวต,52,60,66,44,222
สาธารณรัฐเช็ก,52,50,70,43,215
ลักเซมเบิร์ก,39,30,89,56,214
กรีซ,32,27,87,67,213
จีนฮ่อ,16,7,89,85,197
เอสโตเนีย,49,74,31,34,188
โรมาเนีย,46,30,75,36,187
ลิทัวเนีย,38,49,45,33,165
วานูอาตู,117,15,20,6,158
สโลเวเนีย,36,30,41,39,146
เม็กซิกัน,41,13,63,20,137
ซีเรีย,18,8,66,39,131
เซอร์เบีย,32,29,38,31,130
อุซเบกีสถาน,32,22,58,18,130
เคนยา,44,17,50,18,129
โมร็อกโก,23,21,50,33,127
กาน่า,21,6,63,33,123
อาร์เจนตินา,22,14,53,25,114
โคลัมเบีย,28,14,50,21,113
เชคโกสโลวาเกีย,24,16,41,31,112
อาฟกานิสถาน,38,27,32,15,112
บาห์เรน,27,22,38,15,102
ภูฏาน,35,10,32,24,101
อาฟริกา,9,5,50,37,101
จอร์แดน ,20,11,51,17,99
เลบานอน,15,9,53,19,96
ชิลี ,22,17,35,20,94
ม้ง,10,6,41,33,90
อิรัก ,13,5,46,25,89
ลักเวีย,24,25,23,16,88
ซาอุดิอาระเบีย,37,10,28,10,85
เปรู,19,6,41,15,81
โครเอเชีย,7,11,37,25,80
สหราชอาณาจักร,4,1,42,27,74
สโลวัค,13,12,31,17,73
อาหรับเอมิเรตส์,29,21,18,4,72
มัลดีฟ ,24,14,21,12,71
เชครีพับลิก,23,17,17,12,69
บัลแกเรีย,17,11,24,14,66
ปะโอ,7,3,20,33,63
ยูกันดา,21,6,23,13,63
เยเมน,18,6,21,13,58
มาลี,5,3,28,21,57
คาเมรูน,6,1,34,13,54
ซิมบับเว,20,10,17,7,54
มอลโดวา,13,10,14,12,49
โอมาน,19,9,14,4,46
เติร์กเมนิสถาน,11,10,14,10,45
เฮเลนิค,12,10,13,9,44
แอลจีเรีย,10,3,20,8,41
คีร์กิซ,9,7,11,11,38
ซูดาน  ,2,1,24,6,33
มอลต้า,8,5,15,4,32
เอธิโอเปีย,9,1,19,3,32
เซนต์คิตส์เนวิส,18,2,9,2,31
อาร์มิเนีย,4,4,21,2,31
เวเนซุเอลา,9,2,15,4,30
ตูนิเซีย,6,3,13,7,29
มองโกเลีย,14,3,11,1,29
อาเซอร์ไบจาน,5,4,13,5,27
คะฉิ่น,5,3,5,13,26
ปาเลสติเนียน,4,2,9,11,26
โดนิมิกัน,7,1,13,4,25
บรูไน,9,2,13,1,25
อุรุกวัย,2,12,8,3,25
ลิเบีย,11,1,10,2,24
บอสเนีย,6,7,6,3,22
มอริเชียส,2,2,12,6,22
มาดากัสกา,2,1,12,7,22
แทนซาเนีย,6,2,9,3,20
เอกวาดอร์,7,7,4,1,19
อูกันตา,6,2,4,5,17
ไอเวอรี่โคสต์,4,1,9,3,17
คองโก,4,2,6,3,15
ฟิจิ,3,0,10,1,14
