ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,676571,577213,0,1253784
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,445,39,0,484
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,454709,278211,0,732920
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6744410,4372581,37,11117028
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5930,277,0,6207
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3544066,2784868,18,6328952
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073637,1562353,1904,5637894
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3498,357,0,3855
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4110961,1329988,359,5441308
รถยนต์,รถยนต์สาธารณะ,86619,6118,0,92737
รถยนต์,รถยนต์สามล้อสาธารณะ,6114,212,0,6326
รถยนต์,รถจักรยานยนต์สาธารณะ,120360,9162,0,129522
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,29557,24361,1,53919
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,17857,16342,0,34199
รถยนต์,รถบดถนน,288,9,0,297
รถยนต์,รถแทรกเตอร์,6241,37,0,6278
รถยนต์,รถใช้งานเกษตรกรรม,7105,170,0,7275
รถยนต์,รถอื่นๆ,31,11,0,42
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1551,224,0,1775
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,524839,11018,0,535857
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,105617,1037,0,106654
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9092,102,0,9194
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,14117,2557,0,16674
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,696004,17949,0,713953
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,238051,4839,0,242890
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,128035,1223,0,129258
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1951,7878,0,9829
การขนส่งทางบก,นายตรวจ,148,203,0,351
การขนส่งทางบก,ผู้บริการ,627,832,0,1459
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9765,8510,0,18275
