ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,825877,630582,0,1456459
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1619,219,0,1838
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,659233,421552,0,1080785
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6913012,4690411,16,11603439
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5028,225,0,5253
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3552634,2767815,7,6320456
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074216,1562791,1896,5638903
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111444,1330221,359,5442024
รถยนต์,รถยนต์สาธารณะ,89907,9143,0,99050
รถยนต์,รถยนต์สามล้อสาธารณะ,5573,247,0,5820
รถยนต์,รถจักรยานยนต์สาธารณะ,119721,9213,0,128934
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,78992,53360,1,132353
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,37798,33488,0,71286
รถยนต์,รถบดถนน,337,10,0,347
รถยนต์,รถแทรกเตอร์,5936,38,0,5974
รถยนต์,รถใช้งานเกษตรกรรม,6028,148,0,6176
รถยนต์,รถอื่นๆ,1282,162,0,1444
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1700,259,0,1959
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,548626,12056,0,560682
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,111415,1184,0,112599
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10121,120,0,10241
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13536,2920,0,16456
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,716697,20871,0,737568
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,251118,5942,0,257060
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,132957,1472,0,134429
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2089,8314,0,10403
การขนส่งทางบก,นายตรวจ,159,191,0,350
การขนส่งทางบก,ผู้บริการ,597,816,0,1413
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
