ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,798889,591467,0,1390356
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1778,288,0,2066
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,780096,487886,0,1267982
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7142498,4972889,3,12115390
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4617,226,0,4843
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3669479,2847296,1,6516776
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074568,1563068,1889,5639525
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111800,1330400,357,5442557
รถยนต์,รถยนต์สาธารณะ,104902,13481,0,118383
รถยนต์,รถยนต์สามล้อสาธารณะ,5634,276,0,5910
รถยนต์,รถจักรยานยนต์สาธารณะ,137598,10525,0,148123
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,97859,66101,0,163960
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,45438,37888,0,83326
รถยนต์,รถบดถนน,329,8,0,337
รถยนต์,รถแทรกเตอร์,5902,50,0,5952
รถยนต์,รถใช้งานเกษตรกรรม,5568,139,0,5707
รถยนต์,รถอื่นๆ,1030,102,0,1132
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1637,245,0,1882
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,524223,11785,0,536008
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,106428,1203,0,107631
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9923,105,0,10028
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13178,3138,0,16316
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,717611,22976,0,740587
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,253467,6692,0,260159
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,133960,1613,0,135573
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2279,8790,0,11069
การขนส่งทางบก,นายตรวจ,140,178,0,318
การขนส่งทางบก,ผู้บริการ,774,1096,0,1870
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9761,8514,0,18275
