ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,819691,617395,0,1437086
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1843,261,0,2104
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,697016,441639,0,1138655
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6967417,4766378,15,11733810
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4846,227,0,5073
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3565056,2771616,6,6336678
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074332,1562890,1891,5639113
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111557,1330286,358,5442201
รถยนต์,รถยนต์สาธารณะ,91859,9823,0,101682
รถยนต์,รถยนต์สามล้อสาธารณะ,5614,255,0,5869
รถยนต์,รถจักรยานยนต์สาธารณะ,120433,9327,0,129760
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,82805,55898,0,138703
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,41006,35829,0,76835
รถยนต์,รถบดถนน,349,10,0,359
รถยนต์,รถแทรกเตอร์,6039,40,0,6079
รถยนต์,รถใช้งานเกษตรกรรม,5857,146,0,6003
รถยนต์,รถอื่นๆ,1400,175,0,1575
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1738,268,0,2006
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,557465,12318,0,569783
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,113139,1217,0,114356
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10383,124,0,10507
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13712,3035,0,16747
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,725765,21651,0,747416
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,254216,6168,0,260384
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,134433,1518,0,135951
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2176,8617,0,10793
การขนส่งทางบก,นายตรวจ,161,191,0,352
การขนส่งทางบก,ผู้บริการ,636,883,0,1519
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9763,8512,0,18275
