ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,682050,576567,0,1258617
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,494,44,0,538
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,455634,277925,0,733559
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,0,0,0
รถยนต์,รถยนต์ส่วนบุคคล,6767173,4395563,37,11162773
รถยนต์,รถยนต์สามล้อส่วนบุคคล,5908,275,0,6183
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3547726,2783415,18,6331159
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4073662,1562363,1903,5637928
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3498,357,0,3855
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4110961,1330010,359,5441330
รถยนต์,รถยนต์สาธารณะ,86697,6231,0,92928
รถยนต์,รถยนต์สามล้อสาธารณะ,6043,214,0,6257
รถยนต์,รถจักรยานยนต์สาธารณะ,119757,9140,0,128897
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,33377,26398,1,59776
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,18687,17081,0,35768
รถยนต์,รถบดถนน,289,9,0,298
รถยนต์,รถแทรกเตอร์,6252,36,0,6288
รถยนต์,รถใช้งานเกษตรกรรม,7055,161,0,7216
รถยนต์,รถอื่นๆ,31,10,0,41
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1546,224,0,1770
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,526561,11083,0,537644
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,106109,1038,0,107147
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,9159,102,0,9261
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,14237,2559,0,16796
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,698040,18035,0,716075
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,239098,4876,0,243974
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,128526,1241,0,129767
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,1943,7900,0,9843
การขนส่งทางบก,นายตรวจ,157,205,0,362
การขนส่งทางบก,ผู้บริการ,578,808,0,1386
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9764,8511,0,18275
