ประเภทกฎหมาย,ประเภทใบอนุญาต,จำนวน(ชาย),จำนวน (หญิง),จำนวน (ไม่ระบุเพศ),จำนวนรวม
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,797123,590362,0,1387485
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,1819,274,0,2093
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,764275,482006,0,1246281
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,0,0,0,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,0,1,0,1
รถยนต์,รถยนต์ส่วนบุคคล,7098821,4924627,4,12023452
รถยนต์,รถยนต์สามล้อส่วนบุคคล,4616,220,0,4836
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,3636662,2821757,2,6458421
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,4074539,1563019,1889,5639447
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3497,357,0,3854
รถยนต์,รถจักรยานยนต์ตลอดชีพ,4111757,1330379,357,5442493
รถยนต์,รถยนต์สาธารณะ,103930,13047,0,116977
รถยนต์,รถยนต์สามล้อสาธารณะ,5644,270,0,5914
รถยนต์,รถจักรยานยนต์สาธารณะ,136498,10390,0,146888
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,97435,65446,0,162881
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,44611,37666,0,82277
รถยนต์,รถบดถนน,330,8,0,338
รถยนต์,รถแทรกเตอร์,5934,50,0,5984
รถยนต์,รถใช้งานเกษตรกรรม,5656,141,0,5797
รถยนต์,รถอื่นๆ,1034,100,0,1134
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,1677,254,0,1931
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,538503,12086,0,550589
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,109522,1227,0,110749
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,10262,114,0,10376
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,13354,3159,0,16513
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,722047,22802,0,744849
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,254357,6592,0,260949
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,134469,1603,0,136072
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,2199,8688,0,10887
การขนส่งทางบก,นายตรวจ,144,185,0,329
การขนส่งทางบก,ผู้บริการ,752,1059,0,1811
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,9761,8514,0,18275
