ประเภทกฎหมาย,ประเภทใบอนุญาต,ประเภทพื้นที่,จำนวน
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,157087
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,1142745
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,กรุงเทพฯ,521
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,189
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,80325
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,674397
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์ส่วนบุคคล,กรุงเทพฯ,1638817
รถยนต์,รถยนต์ส่วนบุคคล,ส่วนภูมิภาค,9566517
รถยนต์,รถยนต์สามล้อส่วนบุคคล,กรุงเทพฯ,1315
รถยนต์,รถยนต์สามล้อส่วนบุคคล,ส่วนภูมิภาค,4699
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,กรุงเทพฯ,758076
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,ส่วนภูมิภาค,5553974
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,กรุงเทพฯ,1463488
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,4174544
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,กรุงเทพฯ,428
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,3427
รถยนต์,รถจักรยานยนต์ตลอดชีพ,กรุงเทพฯ,606377
รถยนต์,รถจักรยานยนต์ตลอดชีพ,ส่วนภูมิภาค,4835027
รถยนต์,รถยนต์สาธารณะ,กรุงเทพฯ,52375
รถยนต์,รถยนต์สาธารณะ,ส่วนภูมิภาค,40595
รถยนต์,รถยนต์สามล้อสาธารณะ,กรุงเทพฯ,2207
รถยนต์,รถยนต์สามล้อสาธารณะ,ส่วนภูมิภาค,3840
รถยนต์,รถจักรยานยนต์สาธารณะ,กรุงเทพฯ,58754
รถยนต์,รถจักรยานยนต์สาธารณะ,ส่วนภูมิภาค,67696
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,กรุงเทพฯ,41881
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,ส่วนภูมิภาค,32126
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,กรุงเทพฯ,19685
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,ส่วนภูมิภาค,19295
รถยนต์,รถบดถนน,กรุงเทพฯ,4
รถยนต์,รถบดถนน,ส่วนภูมิภาค,292
รถยนต์,รถแทรกเตอร์,กรุงเทพฯ,119
รถยนต์,รถแทรกเตอร์,ส่วนภูมิภาค,6114
รถยนต์,รถใช้งานเกษตรกรรม,กรุงเทพฯ,7
รถยนต์,รถใช้งานเกษตรกรรม,ส่วนภูมิภาค,6958
รถยนต์,รถอื่นๆ,กรุงเทพฯ,1
รถยนต์,รถอื่นๆ,ส่วนภูมิภาค,131
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,กรุงเทพฯ,115
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,ส่วนภูมิภาค,1677
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,กรุงเทพฯ,23322
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,ส่วนภูมิภาค,516953
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,กรุงเทพฯ,2251
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,ส่วนภูมิภาค,105570
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,กรุงเทพฯ,341
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,ส่วนภูมิภาค,9013
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,กรุงเทพฯ,1658
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,ส่วนภูมิภาค,15415
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,กรุงเทพฯ,84184
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,ส่วนภูมิภาค,635659
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,กรุงเทพฯ,13889
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,ส่วนภูมิภาค,231589
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,กรุงเทพฯ,8794
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,ส่วนภูมิภาค,121567
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,กรุงเทพฯ,6925
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,ส่วนภูมิภาค,2958
