ประเภทกฎหมาย,ประเภทใบอนุญาต,ประเภทพื้นที่,จำนวน
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,160483
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,1158133
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,กรุงเทพฯ,612
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,218
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,81533
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,668278
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์ส่วนบุคคล,กรุงเทพฯ,1648189
รถยนต์,รถยนต์ส่วนบุคคล,ส่วนภูมิภาค,9615120
รถยนต์,รถยนต์สามล้อส่วนบุคคล,กรุงเทพฯ,1305
รถยนต์,รถยนต์สามล้อส่วนบุคคล,ส่วนภูมิภาค,4609
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,กรุงเทพฯ,761465
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,ส่วนภูมิภาค,5559140
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,กรุงเทพฯ,1463119
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,4175028
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,กรุงเทพฯ,428
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,3426
รถยนต์,รถจักรยานยนต์ตลอดชีพ,กรุงเทพฯ,606417
รถยนต์,รถจักรยานยนต์ตลอดชีพ,ส่วนภูมิภาค,4835054
รถยนต์,รถยนต์สาธารณะ,กรุงเทพฯ,52736
รถยนต์,รถยนต์สาธารณะ,ส่วนภูมิภาค,41544
รถยนต์,รถยนต์สามล้อสาธารณะ,กรุงเทพฯ,2174
รถยนต์,รถยนต์สามล้อสาธารณะ,ส่วนภูมิภาค,3808
รถยนต์,รถจักรยานยนต์สาธารณะ,กรุงเทพฯ,59370
รถยนต์,รถจักรยานยนต์สาธารณะ,ส่วนภูมิภาค,67044
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,กรุงเทพฯ,50990
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,ส่วนภูมิภาค,37895
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,กรุงเทพฯ,23006
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,ส่วนภูมิภาค,21898
รถยนต์,รถบดถนน,กรุงเทพฯ,4
รถยนต์,รถบดถนน,ส่วนภูมิภาค,295
รถยนต์,รถแทรกเตอร์,กรุงเทพฯ,115
รถยนต์,รถแทรกเตอร์,ส่วนภูมิภาค,6084
รถยนต์,รถใช้งานเกษตรกรรม,กรุงเทพฯ,7
รถยนต์,รถใช้งานเกษตรกรรม,ส่วนภูมิภาค,6921
รถยนต์,รถอื่นๆ,กรุงเทพฯ,1
รถยนต์,รถอื่นๆ,ส่วนภูมิภาค,832
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,กรุงเทพฯ,115
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,ส่วนภูมิภาค,1704
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,กรุงเทพฯ,23579
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,ส่วนภูมิภาค,523488
