ประเภทกฎหมาย,ประเภทใบอนุญาต,ประเภทพื้นที่,จำนวน
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,186640
รถยนต์,รถยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,1280280
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,กรุงเทพฯ,850
รถยนต์,รถยนต์สามล้อส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,275
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,กรุงเทพฯ,95406
รถยนต์,รถจักรยานยนต์ส่วนบุคคลชั่วคราว,ส่วนภูมิภาค,801400
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์ส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถยนต์สามล้อส่วนบุคคลหนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,กรุงเทพฯ,0
รถยนต์,รถจักรยานยนต์หนึ่งปี,ส่วนภูมิภาค,0
รถยนต์,รถยนต์ส่วนบุคคล,กรุงเทพฯ,1660376
รถยนต์,รถยนต์ส่วนบุคคล,ส่วนภูมิภาค,9650796
รถยนต์,รถยนต์สามล้อส่วนบุคคล,กรุงเทพฯ,1281
รถยนต์,รถยนต์สามล้อส่วนบุคคล,ส่วนภูมิภาค,4467
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,กรุงเทพฯ,766797
รถยนต์,รถจักรยานยนต์ส่วนบุคคล,ส่วนภูมิภาค,5542088
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,กรุงเทพฯ,1462410
รถยนต์,รถยนต์ส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,4175954
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,กรุงเทพฯ,428
รถยนต์,รถยนต์สามล้อส่วนบุคคลตลอดชีพ,ส่วนภูมิภาค,3426
รถยนต์,รถจักรยานยนต์ตลอดชีพ,กรุงเทพฯ,606520
รถยนต์,รถจักรยานยนต์ตลอดชีพ,ส่วนภูมิภาค,4835098
รถยนต์,รถยนต์สาธารณะ,กรุงเทพฯ,52910
รถยนต์,รถยนต์สาธารณะ,ส่วนภูมิภาค,42649
รถยนต์,รถยนต์สามล้อสาธารณะ,กรุงเทพฯ,2187
รถยนต์,รถยนต์สามล้อสาธารณะ,ส่วนภูมิภาค,3729
รถยนต์,รถจักรยานยนต์สาธารณะ,กรุงเทพฯ,60877
รถยนต์,รถจักรยานยนต์สาธารณะ,ส่วนภูมิภาค,66844
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,กรุงเทพฯ,57999
รถยนต์,รถระหว่างประเทศ ค.ศ. 1949,ส่วนภูมิภาค,41075
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,กรุงเทพฯ,27689
รถยนต์,รถระหว่างประเทศ ค.ศ. 1968,ส่วนภูมิภาค,27027
รถยนต์,รถบดถนน,กรุงเทพฯ,4
รถยนต์,รถบดถนน,ส่วนภูมิภาค,297
รถยนต์,รถแทรกเตอร์,กรุงเทพฯ,112
รถยนต์,รถแทรกเตอร์,ส่วนภูมิภาค,5955
รถยนต์,รถใช้งานเกษตรกรรม,กรุงเทพฯ,6
รถยนต์,รถใช้งานเกษตรกรรม,ส่วนภูมิภาค,6625
รถยนต์,รถอื่นๆ,กรุงเทพฯ,1
รถยนต์,รถอื่นๆ,ส่วนภูมิภาค,908
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,กรุงเทพฯ,120
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 1,ส่วนภูมิภาค,1714
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,กรุงเทพฯ,23817
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 2,ส่วนภูมิภาค,523896
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,กรุงเทพฯ,2273
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 3,ส่วนภูมิภาค,107364
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,กรุงเทพฯ,347
การขนส่งทางบก,ผู้ขับรถส่วนบุคคลชนิดที่ 4,ส่วนภูมิภาค,9373
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,กรุงเทพฯ,1623
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 1,ส่วนภูมิภาค,16171
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,กรุงเทพฯ,85476
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 2,ส่วนภูมิภาค,651218
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,กรุงเทพฯ,14062
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 3,ส่วนภูมิภาค,238021
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,กรุงเทพฯ,8871
การขนส่งทางบก,ผู้ขับรถทุกประเภทชนิดที่ 4,ส่วนภูมิภาค,123708
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,กรุงเทพฯ,7151
การขนส่งทางบก,ผู้เก็บค่าโดยสาร,ส่วนภูมิภาค,2968
การขนส่งทางบก,นายตรวจ,กรุงเทพฯ,232
การขนส่งทางบก,นายตรวจ,ส่วนภูมิภาค,119
การขนส่งทางบก,ผู้บริการ,กรุงเทพฯ,470
การขนส่งทางบก,ผู้บริการ,ส่วนภูมิภาค,793
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,กรุงเทพฯ,2322
ล้อเลื่อน,รถจักรยานสองล้อตลอดชีพ,ส่วนภูมิภาค,15953
