ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2565,กรกฎาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5038,4113,223,10,4,196,3,428,0,0,91,400
2565,กรกฎาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,189,139,2,10,2,4,1,16,2,0,2,19
2565,กรกฎาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4216,3485,193,17,0,164,3,336,0,0,104,354
2565,กรกฎาคม,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,4,1,0,0,0,0,0,0,3,0,0,3
2565,กรกฎาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,24,21,0,0,0,0,0,1,1,0,3,1
2565,กรกฎาคม,กระบี่,รย. 12 รถจักรยานยนต์,7552,6422,1100,127,0,361,0,625,1,0,55,484
2565,กรกฎาคม,กระบี่,รย. 13 รถแทร็กเตอร์,60,40,1,0,0,4,0,1,0,0,0,6
2565,กรกฎาคม,กระบี่,รย. 14 รถบดถนน,8,1,0,0,0,1,0,0,0,0,0,3
2565,กรกฎาคม,กระบี่,รย. 16 รถพ่วง,2,1,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,19,16,0,0,1,0,0,1,0,0,0,1
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,262502,203363,21126,648,192,3562,518,45727,483,141,4265,40598
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,11961,8858,711,166,20,138,33,2025,71,3,236,1582
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,67114,52051,5752,162,73,1258,310,11337,207,12,2300,10228
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,26,23,0,0,0,0,0,0,0,0,3,2
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,6293,5588,38,59,1,1,2,632,14,8,396,524
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),50,47,0,0,0,0,0,5,0,0,1,4
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,854,819,16,8,0,0,0,68,16,5,44,64
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,40,29,0,0,0,0,0,21,0,0,1,0
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,112,97,5,0,0,0,0,16,0,0,6,11
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,6,6,3,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,178699,149730,30888,1593,276,3055,359,24237,2777,4,2064,24346
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,13133,12457,979,20,0,107,5,535,39,4,17,634
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 14 รถบดถนน,162,139,8,0,0,0,0,8,1,4,9,22
2565,กรกฎาคม,กรุงเทพมหานคร,รย. 16 รถพ่วง,137,134,76,0,0,0,0,2,0,0,0,2
