ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ,
2566,กันยายน,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6583,5443,284,8,3,255,10,572,4,0,108,489,
2566,กันยายน,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,246,180,8,6,1,15,0,10,8,0,1,35,
2566,กันยายน,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5008,4236,180,17,1,137,6,401,4,0,124,353,
2566,กันยายน,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,3,3,1,0,0,0,0,0,0,0,1,0,
2566,กันยายน,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,3,3,1,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,49,40,13,0,4,0,2,1,0,0,1,3,
2566,กันยายน,กระบี่,รย. 12 รถจักรยานยนต์,9462,8013,1300,252,1,525,0,648,107,0,64,540,
2566,กันยายน,กระบี่,รย. 13 รถแทร็กเตอร์,77,62,3,1,0,6,0,3,0,0,0,3,
2566,กันยายน,กระบี่,รย. 14 รถบดถนน,4,3,0,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กระบี่,รย. 16 รถพ่วง,1,1,0,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,18,16,2,0,2,0,0,0,0,0,0,0,
2566,กันยายน,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,18,9,0,0,9,0,0,0,0,0,0,0,
2566,กันยายน,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,313925,242249,25785,896,246,4343,597,55277,510,159,4081,50089,
2566,กันยายน,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,12379,8869,937,167,39,132,38,2460,111,8,597,1881,
2566,กันยายน,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,76452,59663,4084,293,55,1596,361,12263,232,31,2721,11654,
2566,กันยายน,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,60,58,1,0,0,0,0,1,0,0,4,2,
2566,กันยายน,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,6560,5525,87,84,22,1,36,782,2,2,961,466,
2566,กันยายน,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),88,86,0,0,0,0,0,6,0,0,4,2,
2566,กันยายน,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,467,406,28,13,0,0,0,66,27,1,93,65,
2566,กันยายน,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,17,15,0,0,0,0,0,0,0,0,1,3,
2566,กันยายน,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,199,118,11,1,1,0,67,15,0,0,4,8,
2566,กันยายน,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,10,10,1,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,226449,189591,37127,2091,289,4608,510,26602,6801,21,2500,30029,
2566,กันยายน,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,14950,14244,1057,34,0,225,0,557,51,3,58,704,
2566,กันยายน,กรุงเทพมหานคร,รย. 14 รถบดถนน,206,178,14,2,0,3,0,6,8,0,2,9,
2566,กันยายน,กรุงเทพมหานคร,รย. 16 รถพ่วง,238,155,74,0,0,0,0,6,2,0,12,8,
2566,กันยายน,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,5560,5161,68,4,276,7,0,51,29,0,49,182,
2566,กันยายน,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,109,60,0,0,36,0,0,3,0,0,8,4,
2566,กันยายน,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,9200,7742,273,17,0,322,34,616,7,1,146,685,
2566,กันยายน,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,302,239,2,5,0,6,1,14,4,0,8,18,
2566,กันยายน,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6983,5984,107,34,1,262,16,463,10,1,194,472,
2566,กันยายน,กาญจนบุรี,รย. 12 รถจักรยานยนต์,15698,13865,1284,190,1,720,10,757,65,0,118,889,
2566,กันยายน,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,318,273,20,6,0,7,1,23,5,0,0,10,
2566,กันยายน,กาญจนบุรี,รย. 14 รถบดถนน,9,7,0,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กาญจนบุรี,รย. 15 รถใช้ในงานเกษตรกรรม,2,0,0,0,0,0,0,0,0,0,0,0,
2566,กันยายน,กาญจนบุรี,รย. 16 รถพ่วง,9,7,0,0,0,1,0,0,0,0,0,1,
2566,กันยายน,กาญจนบุรี,รย. 17 รถจักรยานยนต์สาธารณะ,41,34,0,0,1,0,0,1,5,0,0,4,
2566,กันยายน,กาฬสินธุ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5688,4789,152,12,0,331,39,403,2,0,69,543,
