ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2567,กุมภาพันธ์,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6688,5717,248,10,1,213,7,444,2,0,75,459
2567,กุมภาพันธ์,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,203,161,9,1,1,4,1,14,6,0,1,18
2567,กุมภาพันธ์,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4609,3981,97,21,2,117,2,323,5,0,112,302
2567,กุมภาพันธ์,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1,1,1,0,0,0,0,0,0,0,0,0
2567,กุมภาพันธ์,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,12,11,0,0,0,0,0,0,0,0,0,1
2567,กุมภาพันธ์,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,42,36,2,1,1,0,1,4,0,0,3,2
2567,กุมภาพันธ์,กระบี่,รย. 12 รถจักรยานยนต์,9421,7956,1340,188,1,456,1,700,54,0,59,595
2567,กุมภาพันธ์,กระบี่,รย. 13 รถแทร็กเตอร์,64,41,0,0,0,2,0,0,0,0,0,3
2567,กุมภาพันธ์,กระบี่,รย. 14 รถบดถนน,8,5,0,0,0,0,0,0,0,0,0,0
2567,กุมภาพันธ์,กระบี่,รย. 16 รถพ่วง,3,3,0,0,0,0,0,1,0,0,0,1
2567,กุมภาพันธ์,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,23,20,0,0,1,0,0,1,0,0,0,0
2567,กุมภาพันธ์,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,14,5,0,0,8,0,0,0,0,0,0,0
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,330033,264693,26923,770,306,3721,574,51347,492,140,3632,46440
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,11650,8436,774,115,62,85,24,1944,75,53,253,1692
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,73474,58264,3187,181,93,1515,276,11220,257,10,2454,10464
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,40,40,4,0,0,0,0,0,0,0,3,0
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,6356,5548,152,59,3,2,23,714,0,3,568,475
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),76,76,0,0,0,0,0,1,0,0,11,4
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,805,783,1,8,0,0,0,42,0,7,80,71
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,22,17,0,0,0,0,0,5,0,0,0,0
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,165,145,18,0,2,1,5,5,1,0,4,7
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,10,9,0,0,0,0,1,0,0,0,0,0
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,237886,199772,39662,1931,289,3919,374,27045,7486,30,2543,31637
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,21333,20227,1240,24,0,251,12,1020,36,5,75,1218
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 14 รถบดถนน,154,135,11,2,0,5,0,7,2,0,4,13
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 16 รถพ่วง,216,134,62,0,0,0,1,4,1,0,0,3
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,4896,4508,52,6,245,5,0,58,30,0,34,158
2567,กุมภาพันธ์,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,102,68,0,0,28,0,0,4,0,0,3,3
2567,กุมภาพันธ์,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,9853,8557,215,11,0,331,35,570,5,4,127,597
2567,กุมภาพันธ์,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,266,201,0,1,0,8,0,9,3,1,1,11
2567,กุมภาพันธ์,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,7017,6132,63,14,2,221,3,393,2,0,136,423
2567,กุมภาพันธ์,กาญจนบุรี,รย. 8 รถยนต์รับจ้างสามล้อ,1,0,0,0,0,0,0,1,0,0,0,0
2567,กุมภาพันธ์,กาญจนบุรี,รย. 12 รถจักรยานยนต์,15946,14255,1294,155,2,701,3,742,61,0,97,833
2567,กุมภาพันธ์,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,266,216,20,1,0,17,0,20,2,0,2,11
2567,กุมภาพันธ์,กาญจนบุรี,รย. 14 รถบดถนน,8,8,3,0,0,0,0,0,0,0,0,0
2567,กุมภาพันธ์,กาญจนบุรี,รย. 16 รถพ่วง,9,5,0,0,0,0,0,0,0,0,0,0
2567,กุมภาพันธ์,กาญจนบุรี,รย. 17 รถจักรยานยนต์สาธารณะ,36,32,0,0,1,0,0,0,4,0,0,5
2567,กุมภาพันธ์,กาฬสินธุ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6044,5249,163,6,0,218,24,382,5,0,66,416
