ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2565,ตุลาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5889,4873,289,11,4,208,6,508,4,0,87,440
2565,ตุลาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,245,158,4,5,2,5,1,19,3,0,2,17
2565,ตุลาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4475,3715,207,21,2,145,3,379,2,0,100,344
2565,ตุลาคม,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,7,6,0,0,0,0,0,0,1,0,0,1
2565,ตุลาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,3,1,0,0,0,0,0,1,0,0,0,0
2565,ตุลาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,24,23,1,0,0,0,0,1,0,0,1,0
2565,ตุลาคม,กระบี่,รย. 12 รถจักรยานยนต์,7445,6481,1312,160,1,359,0,502,0,0,44,372
2565,ตุลาคม,กระบี่,รย. 13 รถแทร็กเตอร์,38,35,1,0,0,1,0,0,0,0,0,0
2565,ตุลาคม,กระบี่,รย. 14 รถบดถนน,7,6,0,0,0,0,0,0,0,0,0,0
2565,ตุลาคม,กระบี่,รย. 16 รถพ่วง,4,2,0,0,0,0,0,0,0,0,1,1
2565,ตุลาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,17,15,0,0,0,0,0,0,1,0,0,1
2565,ตุลาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,282303,216576,24648,686,151,3952,614,47649,544,156,4061,45826
2565,ตุลาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,10695,7538,557,185,24,145,26,1918,111,8,175,1858
2565,ตุลาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,71027,54262,5094,226,51,1506,259,11329,332,20,2255,11663
2565,ตุลาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,42,42,0,0,0,0,0,0,0,0,3,0
2565,ตุลาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,5835,5030,76,57,1,12,11,622,2,9,278,563
2565,ตุลาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),76,76,0,0,0,0,0,0,1,0,1,1
2565,ตุลาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,341,281,7,6,0,0,0,78,27,1,46,62
2565,ตุลาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,233,228,1,0,0,0,0,1,0,0,2,3
2565,ตุลาคม,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,152,136,31,0,2,0,0,13,0,0,4,12
2565,ตุลาคม,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,11,10,1,0,0,0,0,0,0,0,0,1
2565,ตุลาคม,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,197464,165200,33256,1614,302,3578,251,24103,5866,8,2186,27523
2565,ตุลาคม,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,16557,15893,1029,16,0,134,7,520,33,5,33,609
2565,ตุลาคม,กรุงเทพมหานคร,รย. 14 รถบดถนน,192,155,11,0,0,1,2,15,9,3,3,10
2565,ตุลาคม,กรุงเทพมหานคร,รย. 16 รถพ่วง,250,148,117,1,0,0,0,7,3,0,2,11
2565,ตุลาคม,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,4525,4134,44,4,189,4,0,112,29,0,51,186
