ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2565,ธันวาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5211,4149,119,6,1,231,7,526,2,0,86,476
2565,ธันวาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,161,121,2,2,0,3,0,14,2,0,4,12
2565,ธันวาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4314,3512,80,14,2,162,3,411,2,0,82,361
2565,ธันวาคม,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,4,4,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,5,4,0,0,0,0,0,1,0,0,0,0
2565,ธันวาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,44,38,1,0,1,0,0,4,2,0,1,3
2565,ธันวาคม,กระบี่,รย. 12 รถจักรยานยนต์,8705,7411,1296,171,1,416,0,659,13,0,40,518
2565,ธันวาคม,กระบี่,รย. 13 รถแทร็กเตอร์,48,35,1,0,0,4,0,1,0,0,0,3
2565,ธันวาคม,กระบี่,รย. 14 รถบดถนน,2,0,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,25,22,0,0,0,0,0,1,0,0,1,1
2565,ธันวาคม,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,1,0,0,0,1,0,0,0,0,0,0,0
2565,ธันวาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,281604,212784,20563,833,181,4498,610,52966,448,141,4546,47201
2565,ธันวาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,11389,7748,1186,228,33,170,23,2224,121,17,261,1925
2565,ธันวาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,72999,56130,4590,864,60,1784,324,12157,183,19,2570,11405
2565,ธันวาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,42,40,6,0,0,0,0,1,0,0,4,0
2565,ธันวาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,5868,5059,91,70,0,2,6,674,1,9,265,485
2565,ธันวาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),78,76,0,0,0,0,0,1,0,0,5,2
2565,ธันวาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,387,330,8,2,0,0,0,74,13,2,51,53
2565,ธันวาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,19,17,2,0,1,0,0,1,0,0,0,1
2565,ธันวาคม,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,189,167,30,0,2,7,0,11,11,0,6,18
2565,ธันวาคม,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,9,8,0,0,0,0,0,0,0,0,0,1
2565,ธันวาคม,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,203059,169492,34879,1870,321,3907,310,25339,4944,15,3049,27765
2565,ธันวาคม,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,22709,21941,1114,17,0,206,4,605,26,9,36,750
2565,ธันวาคม,กรุงเทพมหานคร,รย. 14 รถบดถนน,171,120,12,0,0,5,0,6,1,2,7,14
2565,ธันวาคม,กรุงเทพมหานคร,รย. 16 รถพ่วง,170,159,70,0,0,0,0,3,0,0,2,5
2565,ธันวาคม,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,4638,4260,67,4,173,2,0,102,36,0,51,209
2565,ธันวาคม,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,63,8,0,0,50,0,0,2,0,0,1,11
2565,ธันวาคม,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,7888,6600,127,10,0,305,21,557,9,1,153,597
2565,ธันวาคม,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,259,211,0,3,0,5,2,4,4,0,2,10
2565,ธันวาคม,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6839,5782,66,16,1,263,15,473,2,0,189,489
2565,ธันวาคม,กาญจนบุรี,รย. 12 รถจักรยานยนต์,16164,14334,1328,177,2,767,13,810,13,0,100,868
2565,ธันวาคม,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,255,213,42,3,0,5,0,25,1,1,1,11
2565,ธันวาคม,กาญจนบุรี,รย. 14 รถบดถนน,3,2,0,0,0,0,0,1,0,0,0,0
2565,ธันวาคม,กาญจนบุรี,รย. 16 รถพ่วง,3,3,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กาญจนบุรี,รย. 17 รถจักรยานยนต์สาธารณะ,37,34,0,0,0,0,0,0,6,0,0,4
2565,ธันวาคม,กาญจนบุรี,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,1,0,0,0,1,0,0,0,0,0,0,0
2565,ธันวาคม,กาฬสินธุ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5634,4714,140,17,0,287,25,434,5,0,73,532
2565,ธันวาคม,กาฬสินธุ์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,245,182,0,5,2,9,0,14,1,0,4,19
2565,ธันวาคม,กาฬสินธุ์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6422,5246,40,21,4,354,30,513,3,0,207,668
2565,ธันวาคม,กาฬสินธุ์,รย. 12 รถจักรยานยนต์,9478,8524,1476,133,0,358,1,591,28,0,56,434
2565,ธันวาคม,กาฬสินธุ์,รย. 13 รถแทร็กเตอร์,275,195,84,4,0,16,0,49,1,0,4,22
2565,ธันวาคม,กาฬสินธุ์,รย. 14 รถบดถนน,3,3,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กาฬสินธุ์,รย. 15 รถใช้ในงานเกษตรกรรม,2,0,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กาฬสินธุ์,รย. 16 รถพ่วง,2,2,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กาฬสินธุ์,รย. 17 รถจักรยานยนต์สาธารณะ,2,2,0,0,0,0,0,0,2,0,0,0
2565,ธันวาคม,กำแพงเพชร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5769,4786,126,5,0,291,5,475,1,0,72,456
2565,ธันวาคม,กำแพงเพชร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,203,145,1,2,0,7,0,7,0,0,7,15
2565,ธันวาคม,กำแพงเพชร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5917,4954,56,20,1,251,8,443,4,3,140,475
2565,ธันวาคม,กำแพงเพชร,รย. 12 รถจักรยานยนต์,13548,12268,950,137,0,422,3,768,16,0,75,647
2565,ธันวาคม,กำแพงเพชร,รย. 13 รถแทร็กเตอร์,753,619,151,9,0,40,1,75,0,0,1,43
2565,ธันวาคม,กำแพงเพชร,รย. 14 รถบดถนน,16,16,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กำแพงเพชร,รย. 15 รถใช้ในงานเกษตรกรรม,4,0,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กำแพงเพชร,รย. 16 รถพ่วง,5,5,0,0,0,0,0,0,0,0,0,0
2565,ธันวาคม,กำแพงเพชร,รย. 17 รถจักรยานยนต์สาธารณะ,5,3,0,0,0,0,0,0,1,0,0,1
