ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2565,พฤษภาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6082,4965,263,9,2,238,5,574,2,0,86,514
2565,พฤษภาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,319,213,2,15,2,8,1,35,3,0,2,23
2565,พฤษภาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4959,4091,195,13,4,182,2,403,4,0,124,401
2565,พฤษภาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,4,3,0,0,0,0,0,0,0,0,0,0
2565,พฤษภาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,28,22,0,0,0,0,0,5,0,0,1,2
2565,พฤษภาคม,กระบี่,รย. 12 รถจักรยานยนต์,8644,7391,1107,131,2,439,0,632,7,0,60,540
2565,พฤษภาคม,กระบี่,รย. 13 รถแทร็กเตอร์,80,61,1,0,0,11,0,1,0,0,0,5
2565,พฤษภาคม,กระบี่,รย. 14 รถบดถนน,11,5,0,0,0,0,0,0,0,0,0,0
2565,พฤษภาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,20,20,0,0,0,0,0,0,1,0,0,0
2565,พฤษภาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,319257,248563,30893,784,280,4231,606,54239,530,146,4628,48682
2565,พฤษภาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,11940,8629,745,228,35,128,23,2267,89,16,256,1916
