ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2565,สิงหาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6825,5570,383,11,3,273,7,633,3,0,122,558
2565,สิงหาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,232,176,4,7,0,8,0,22,2,0,1,14
2565,สิงหาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5457,4512,336,19,1,204,2,451,8,0,121,451
2565,สิงหาคม,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1,0,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,6,6,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,32,30,0,0,0,0,0,1,0,0,0,1
2565,สิงหาคม,กระบี่,รย. 12 รถจักรยานยนต์,9204,7895,1376,157,1,449,1,771,2,0,75,501
2565,สิงหาคม,กระบี่,รย. 13 รถแทร็กเตอร์,52,39,1,0,0,7,0,1,1,0,0,7
2565,สิงหาคม,กระบี่,รย. 14 รถบดถนน,2,2,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กระบี่,รย. 16 รถพ่วง,2,2,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,24,21,1,0,1,0,0,0,1,0,0,4
2565,สิงหาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,340591,262151,24279,886,244,5212,577,59793,623,179,5210,54033
2565,สิงหาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,14557,10941,835,259,27,197,29,2329,191,45,240,2162
2565,สิงหาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,85615,65979,7246,304,72,1903,291,14565,255,21,2725,13389
2565,สิงหาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,51,50,6,0,0,0,0,0,0,0,3,0
2565,สิงหาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,8069,7145,73,101,3,2,3,813,9,9,482,612
2565,สิงหาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),75,75,0,0,0,0,0,6,0,1,3,4
2565,สิงหาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,1046,975,10,0,0,0,0,132,13,9,56,63
2565,สิงหาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,14,9,1,0,0,0,0,3,0,0,0,2
2565,สิงหาคม,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,106,91,10,0,0,0,0,11,0,0,3,7
2565,สิงหาคม,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,1,1,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,238809,198923,42104,2085,333,4267,385,30533,6884,15,2792,33394
2565,สิงหาคม,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,12936,12107,1780,21,0,183,6,723,57,1,35,827
2565,สิงหาคม,กรุงเทพมหานคร,รย. 14 รถบดถนน,249,191,26,1,0,2,0,12,3,4,6,21
2565,สิงหาคม,กรุงเทพมหานคร,รย. 16 รถพ่วง,176,158,76,5,0,0,1,8,2,0,1,11
2565,สิงหาคม,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,5691,5239,64,11,207,7,0,138,33,0,47,222
2565,สิงหาคม,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,1,0,0,0,1,0,0,0,0,0,0,0
2565,สิงหาคม,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,9878,8390,287,15,0,378,28,677,6,2,185,738
2565,สิงหาคม,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,290,228,0,3,1,11,0,11,0,0,2,25
2565,สิงหาคม,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,7633,6541,241,25,1,275,15,504,11,1,215,541
2565,สิงหาคม,กาญจนบุรี,รย. 4 รถยนต์สามล้อส่วนบุคคล,1,1,0,0,0,0,0,0,0,0,0,0
2565,สิงหาคม,กาญจนบุรี,รย. 8 รถยนต์รับจ้างสามล้อ,1,0,0,0,0,0,0,1,0,0,0,0
2565,สิงหาคม,กาญจนบุรี,รย. 12 รถจักรยานยนต์,16600,14536,1218,186,3,834,9,920,29,0,100,921
2565,สิงหาคม,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,324,263,39,10,0,16,0,30,3,0,1,12
2565,สิงหาคม,กาญจนบุรี,รย. 14 รถบดถนน,18,15,1,1,0,0,0,0,0,0,0,0
