ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ,
2566,สิงหาคม,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6806,5631,262,13,1,239,7,601,5,0,107,536,
2566,สิงหาคม,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,254,176,2,2,3,16,0,13,12,0,0,28,
2566,สิงหาคม,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5062,4298,147,17,2,154,4,403,6,0,132,354,
2566,สิงหาคม,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2,2,1,0,0,0,0,0,0,0,0,0,
2566,สิงหาคม,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,3,2,0,0,0,0,0,0,0,0,0,1,
2566,สิงหาคม,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,32,28,2,0,0,0,2,2,0,0,2,1,
2566,สิงหาคม,กระบี่,รย. 12 รถจักรยานยนต์,9829,8265,1357,229,3,550,1,745,80,0,67,690,
2566,สิงหาคม,กระบี่,รย. 13 รถแทร็กเตอร์,60,40,1,0,0,8,0,4,0,0,0,8,
2566,สิงหาคม,กระบี่,รย. 14 รถบดถนน,1,1,0,0,0,0,0,0,0,0,0,0,
2566,สิงหาคม,กระบี่,รย. 16 รถพ่วง,3,3,0,0,0,0,0,0,0,0,0,0,
2566,สิงหาคม,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,27,24,0,1,1,0,0,0,1,0,0,2,
2566,สิงหาคม,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,16,3,0,0,13,0,0,0,0,0,0,0,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,349856,273368,30605,815,215,4563,689,58965,545,129,4792,52266,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,14489,10994,879,197,42,145,37,2452,103,7,450,1899,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,81556,63659,5083,244,79,1648,324,13233,211,17,2892,12035,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,25,23,2,0,0,0,0,0,2,1,2,3,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,7421,6335,97,67,2,1,5,866,1,2,931,517,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),48,45,0,0,0,0,0,3,0,1,2,2,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,824,770,22,11,0,0,0,64,25,19,92,107,
2566,สิงหาคม,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,17,17,4,0,0,0,0,0,0,0,0,0,
