ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งไม่ใช้ตลอดไป,รถแจ้งไม่ใช้ชั่วคราว,รถเปลี่ยนแปลงรายการฯ,รถดำเนินการอื่นๆ
2566,เมษายน,กระบี่,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5654,4570,281,9,1,209,5,573,0,0,85,559
2566,เมษายน,กระบี่,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,217,145,5,4,3,14,0,28,3,0,6,28
2566,เมษายน,กระบี่,รย. 3 รถยนต์บรรทุกส่วนบุคคล,4108,3503,164,11,0,122,2,322,2,0,100,302
2566,เมษายน,กระบี่,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2,2,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กระบี่,รย. 9 รถยนต์บริการธุรกิจ,7,3,0,0,0,0,0,1,0,0,4,0
2566,เมษายน,กระบี่,รย. 10 รถยนต์บริการทัศนาจร,31,28,0,0,1,0,0,1,0,0,1,1
2566,เมษายน,กระบี่,รย. 12 รถจักรยานยนต์,7537,6350,1216,175,1,459,2,504,40,0,56,496
2566,เมษายน,กระบี่,รย. 13 รถแทร็กเตอร์,27,22,0,1,0,4,0,0,0,0,0,3
2566,เมษายน,กระบี่,รย. 14 รถบดถนน,8,5,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กระบี่,รย. 17 รถจักรยานยนต์สาธารณะ,13,12,0,1,0,0,0,1,1,0,0,1
2566,เมษายน,กระบี่,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,5,1,0,0,5,0,0,0,0,0,0,0
2566,เมษายน,กรุงเทพมหานคร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,267694,206258,26163,698,153,3583,517,48886,383,110,3342,40571
2566,เมษายน,กรุงเทพมหานคร,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,9198,6533,530,151,24,119,16,1790,74,10,193,1540
2566,เมษายน,กรุงเทพมหานคร,รย. 3 รถยนต์บรรทุกส่วนบุคคล,64793,49821,3974,1096,54,1381,331,11567,170,30,2062,9421
2566,เมษายน,กรุงเทพมหานคร,รย. 4 รถยนต์สามล้อส่วนบุคคล,34,34,0,0,1,0,0,0,0,0,1,0
2566,เมษายน,กรุงเทพมหานคร,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,4849,4238,92,55,3,0,29,536,2,5,199,315
2566,เมษายน,กรุงเทพมหานคร,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),91,90,0,0,0,0,0,8,0,0,1,6
2566,เมษายน,กรุงเทพมหานคร,รย. 8 รถยนต์รับจ้างสามล้อ,680,629,19,0,0,0,0,52,19,4,37,68
2566,เมษายน,กรุงเทพมหานคร,รย. 9 รถยนต์บริการธุรกิจ,20,19,3,0,1,0,0,0,0,0,0,1
2566,เมษายน,กรุงเทพมหานคร,รย. 10 รถยนต์บริการทัศนาจร,128,113,18,0,3,0,0,12,0,0,4,9
2566,เมษายน,กรุงเทพมหานคร,รย. 11 รถยนต์บริการให้เช่า,1,1,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กรุงเทพมหานคร,รย. 12 รถจักรยานยนต์,167622,139781,29852,1425,270,3117,259,21419,3793,6,1960,22805
2566,เมษายน,กรุงเทพมหานคร,รย. 13 รถแทร็กเตอร์,24841,23995,948,18,0,159,3,649,27,9,33,812
2566,เมษายน,กรุงเทพมหานคร,รย. 14 รถบดถนน,167,103,13,0,0,2,0,6,9,13,7,21
2566,เมษายน,กรุงเทพมหานคร,รย. 16 รถพ่วง,197,156,72,2,0,1,0,7,1,0,7,4
2566,เมษายน,กรุงเทพมหานคร,รย. 17 รถจักรยานยนต์สาธารณะ,3285,2981,61,0,133,4,0,75,18,0,26,156
2566,เมษายน,กรุงเทพมหานคร,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,74,39,0,0,27,0,1,1,0,0,6,2
2566,เมษายน,กาญจนบุรี,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,8440,7133,230,15,0,274,17,640,9,0,151,574
2566,เมษายน,กาญจนบุรี,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,251,207,2,2,0,8,0,7,2,0,3,12
2566,เมษายน,กาญจนบุรี,รย. 3 รถยนต์บรรทุกส่วนบุคคล,6597,5610,132,15,3,277,10,437,10,0,149,468
2566,เมษายน,กาญจนบุรี,รย. 8 รถยนต์รับจ้างสามล้อ,1,1,0,0,0,0,0,0,0,0,1,0
2566,เมษายน,กาญจนบุรี,รย. 12 รถจักรยานยนต์,12893,11349,1091,122,1,596,3,732,44,0,97,709
2566,เมษายน,กาญจนบุรี,รย. 13 รถแทร็กเตอร์,265,199,31,6,0,18,0,26,1,2,1,14
2566,เมษายน,กาญจนบุรี,รย. 14 รถบดถนน,6,2,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กาญจนบุรี,รย. 16 รถพ่วง,4,3,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กาญจนบุรี,รย. 17 รถจักรยานยนต์สาธารณะ,25,22,0,0,2,0,0,0,4,0,0,3
2566,เมษายน,กาฬสินธุ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,5661,4847,196,7,0,237,21,396,4,0,78,472
2566,เมษายน,กาฬสินธุ์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,185,138,1,0,2,5,1,18,0,0,1,17
2566,เมษายน,กาฬสินธุ์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,5986,4847,76,15,1,355,37,543,3,0,180,605
2566,เมษายน,กาฬสินธุ์,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1,0,0,0,0,0,0,0,0,0,0,1
2566,เมษายน,กาฬสินธุ์,รย. 12 รถจักรยานยนต์,8551,7430,1016,117,0,369,5,715,44,0,106,521
2566,เมษายน,กาฬสินธุ์,รย. 13 รถแทร็กเตอร์,332,240,121,10,0,13,0,80,0,0,5,13
2566,เมษายน,กาฬสินธุ์,รย. 14 รถบดถนน,2,2,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กาฬสินธุ์,รย. 15 รถใช้ในงานเกษตรกรรม,2,0,0,0,0,0,0,0,0,0,0,0
2566,เมษายน,กาฬสินธุ์,รย. 17 รถจักรยานยนต์สาธารณะ,1,1,0,0,0,0,0,0,1,0,0,0
2566,เมษายน,กำแพงเพชร,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,6157,5165,287,8,0,227,4,509,3,1,58,475
