ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2565,กรกฎาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 4,6,6,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,กระบี่,รถโดยสาร ไม่ประจำทาง ,55,55,2,1,0,0,0,2,5,10,0,0,2
2565,กรกฎาคม,กระบี่,รถโดยสาร ส่วนบุคคล ,7,1,0,1,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กระบี่,รถบรรทุก ไม่ประจำทาง ,37,36,11,6,0,0,6,5,1,3,0,0,2
2565,กรกฎาคม,กระบี่,รถบรรทุก ส่วนบุคคล ,269,262,30,4,0,4,7,7,32,9,0,1,16
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,246,246,0,0,0,0,0,4,8,78,0,1,24
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,106,106,4,5,0,0,0,3,10,24,5,4,25
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,3,3,0,1,0,0,0,0,1,0,0,0,0
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,158,158,0,4,0,0,0,0,7,7,1,3,28
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,5
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,621,619,8,70,1,1,28,18,37,66,25,18,88
2565,กรกฎาคม,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,68,35,2,2,1,0,2,0,4,5,0,2,3
2565,กรกฎาคม,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,2656,2655,451,243,12,9,194,308,341,153,52,103,1086
2565,กรกฎาคม,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,1578,1205,208,37,13,23,35,228,80,158,18,81,143
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,9,9,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,0,0,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,4,4,0,0,0,0,0,1,0,0,1,0,0
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,3,3,0,0,0,0,0,0,1,0,0,0,0
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,8,8,0,1,0,0,1,2,2,2,1,0,0
2565,กรกฎาคม,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,4,0,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,166,166,17,17,2,4,14,14,17,9,27,4,39
2565,กรกฎาคม,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,498,463,18,25,2,0,44,27,32,13,5,15,34
2565,กรกฎาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,3,3,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,5,5,0,0,0,0,0,1,0,1,0,0,0
2565,กรกฎาคม,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,4,4,0,0,0,0,0,3,1,0,0,0,8
2565,กรกฎาคม,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,8,4,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,48,48,1,0,0,0,0,9,5,1,0,0,12
2565,กรกฎาคม,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,500,466,15,47,4,9,50,25,53,23,0,11,25
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 1,0,0,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 2,2,2,0,0,0,0,0,0,0,0,0,0,1
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,1,0,0,0,0
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 4,7,7,0,0,1,0,1,0,0,2,0,0,1
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,5,5,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,3,2,0,0,0,0,0,0,1,0,0,0,1
2565,กรกฎาคม,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,124,124,22,7,4,0,15,17,10,4,0,0,10
2565,กรกฎาคม,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,584,560,5,34,2,17,57,33,44,6,13,20,44
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,20,20,0,2,0,0,0,0,0,3,0,0,0
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 2,3,3,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,6,6,0,0,0,0,0,1,1,7,2,0,1
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,28,28,0,2,0,0,0,1,2,2,0,0,1
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,15,15,0,2,0,0,3,1,0,3,1,0,0
2565,กรกฎาคม,ขอนแก่น,รถโดยสาร ส่วนบุคคล ,22,4,1,0,0,0,0,0,0,0,0,0,1
2565,กรกฎาคม,ขอนแก่น,รถบรรทุก ไม่ประจำทาง ,208,208,20,10,6,1,21,21,38,21,0,3,69
2565,กรกฎาคม,ขอนแก่น,รถบรรทุก ส่วนบุคคล ,917,876,27,49,6,2,91,47,71,16,2,12,49
2565,กรกฎาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 2,3,3,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 4,6,6,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,จันทบุรี,รถโดยสาร ไม่ประจำทาง ,19,19,0,0,0,0,0,0,1,3,0,2,2
2565,กรกฎาคม,จันทบุรี,รถบรรทุก ไม่ประจำทาง ,127,127,17,17,5,1,25,12,17,4,1,5,11
2565,กรกฎาคม,จันทบุรี,รถบรรทุก ส่วนบุคคล ,300,261,10,5,1,1,12,23,6,9,0,5,9
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 1,3,3,0,0,0,0,0,0,0,0,0,0,1
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 2,1,1,0,0,0,0,0,2,0,1,0,0,0
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 3,8,8,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 4,9,9,0,1,0,0,0,0,1,0,0,0,4
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ไม่ประจำทาง ,43,42,8,6,0,0,3,5,4,6,6,2,7
2565,กรกฎาคม,ฉะเชิงเทรา,รถโดยสาร ส่วนบุคคล ,2,2,0,0,0,0,0,1,0,3,0,0,0
2565,กรกฎาคม,ฉะเชิงเทรา,รถบรรทุก ไม่ประจำทาง ,413,412,62,54,26,7,59,36,86,17,0,15,87
2565,กรกฎาคม,ฉะเชิงเทรา,รถบรรทุก ส่วนบุคคล ,569,543,23,15,3,17,36,35,50,15,2,19,52
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 1,52,52,3,3,0,0,0,0,6,0,0,1,5
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 2,5,5,0,0,0,0,0,0,1,0,0,0,2
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 4,53,53,0,3,0,0,1,0,3,5,0,4,18
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ไม่ประจำทาง ,158,158,1,3,0,0,3,2,28,26,22,5,7
2565,กรกฎาคม,ชลบุรี,รถโดยสาร ส่วนบุคคล ,35,12,1,0,1,0,0,1,1,1,0,1,1
2565,กรกฎาคม,ชลบุรี,รถบรรทุก ไม่ประจำทาง ,1091,1091,161,74,6,24,100,54,184,41,2,65,395
2565,กรกฎาคม,ชลบุรี,รถบรรทุก ส่วนบุคคล ,1145,1084,48,33,6,20,45,50,121,38,7,37,64
2565,กรกฎาคม,ชัยนาท,รถโดยสาร ประจำทาง หมวด 4,4,4,0,0,0,0,0,0,0,1,0,0,0
2565,กรกฎาคม,ชัยนาท,รถโดยสาร ไม่ประจำทาง ,2,2,0,1,0,0,0,1,0,1,0,1,5
2565,กรกฎาคม,ชัยนาท,รถโดยสาร ส่วนบุคคล ,4,1,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,ชัยนาท,รถบรรทุก ไม่ประจำทาง ,23,23,6,0,1,2,2,7,16,7,0,5,8
2565,กรกฎาคม,ชัยนาท,รถบรรทุก ส่วนบุคคล ,359,328,5,10,0,3,18,30,23,9,3,3,12
2565,กรกฎาคม,ชัยภูมิ,รถโดยสาร ประจำทาง หมวด 2,0,0,0,0,0,0,0,1,0,0,0,0,0
2565,กรกฎาคม,ชัยภูมิ,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,2,0,0,0,0,1
2565,กรกฎาคม,ชัยภูมิ,รถโดยสาร ประจำทาง หมวด 4,4,4,0,1,0,0,1,0,0,10,0,0,0
2565,กรกฎาคม,ชัยภูมิ,รถโดยสาร ไม่ประจำทาง ,5,5,0,0,0,0,0,0,0,0,0,0,0
2565,กรกฎาคม,ชัยภูมิ,รถโดยสาร ส่วนบุคคล ,5,3,0,1,0,0,1,0,0,0,0,0,0
2565,กรกฎาคม,ชัยภูมิ,รถบรรทุก ไม่ประจำทาง ,135,134,13,15,2,2,8,15,15,4,0,6,18
2565,กรกฎาคม,ชัยภูมิ,รถบรรทุก ส่วนบุคคล ,842,823,27,59,9,18,111,54,60,17,0,19,59
