ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2567,กันยายน,กระบี่,รถโดยสาร ประจำทาง หมวด 1,12,12,0,0,0,0,0,0,0,0,0,0,0
2567,กันยายน,กระบี่,รถโดยสาร ประจำทาง หมวด 3,17,17,0,0,0,0,0,0,0,0,1,0,0
2567,กันยายน,กระบี่,รถโดยสาร ประจำทาง หมวด 4,68,68,0,0,0,0,0,0,0,0,0,0,0
2567,กันยายน,กระบี่,รถโดยสาร ไม่ประจำทาง ,261,261,5,15,1,3,4,2,9,4,0,1,9
2567,กันยายน,กระบี่,รถโดยสาร ส่วนบุคคล ,12,6,1,0,0,0,0,0,0,0,0,0,1
2567,กันยายน,กระบี่,รถบรรทุก ไม่ประจำทาง ,107,107,0,1,6,0,2,5,3,0,0,0,11
2567,กันยายน,กระบี่,รถบรรทุก ส่วนบุคคล ,491,478,17,2,0,3,6,15,37,5,0,4,18
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,1160,1160,31,0,0,0,0,2,5,8,1,10,328
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,589,589,2,3,0,0,1,14,1,9,0,18,14
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,23,23,2,0,0,0,0,0,0,0,0,2,4
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,425,425,0,0,0,0,0,0,9,11,2,16,17
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,2
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,2294,2287,26,20,0,10,6,27,62,79,14,57,99
2567,กันยายน,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,316,265,4,3,0,0,1,8,3,9,0,1,5
2567,กันยายน,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,15226,15184,263,226,43,50,139,374,626,355,123,154,2067
