ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2568,กุมภาพันธ์,กระบี่,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,0,0,0,1,0
2568,กุมภาพันธ์,กระบี่,รถโดยสาร ประจำทาง หมวด 4,8,8,0,2,0,0,0,0,0,3,0,0,1
2568,กุมภาพันธ์,กระบี่,รถโดยสาร ไม่ประจำทาง ,30,26,3,4,0,1,1,2,2,1,0,0,3
2568,กุมภาพันธ์,กระบี่,รถบรรทุก ไม่ประจำทาง ,30,30,0,2,3,0,2,7,3,1,1,0,5
2568,กุมภาพันธ์,กระบี่,รถบรรทุก ส่วนบุคคล ,136,108,5,4,0,1,6,13,14,2,0,2,1
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,397,397,0,0,0,0,0,3,8,62,0,0,22
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,44,43,5,4,0,0,2,2,8,33,4,7,7
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,1,1,0,1,3
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,68,67,0,8,0,0,0,0,7,11,1,13,9
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,2
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,406,400,41,71,0,2,27,59,47,49,4,72,222
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,89,64,2,1,0,0,0,7,1,10,1,2,2
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,3169,3167,201,213,35,26,145,346,322,383,61,103,1254
2568,กุมภาพันธ์,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,2228,1958,50,33,7,15,21,141,204,125,4,35,135
2568,กุมภาพันธ์,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,2,2,0,0,0,0,0,0,0,0,0,2,0
2568,กุมภาพันธ์,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,0,2,0
2568,กุมภาพันธ์,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,1,1,0,0,0,0,0,0,0,1,0,0,0
2568,กุมภาพันธ์,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,1,1,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,1,0,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,118,118,6,7,7,0,10,12,22,3,0,13,34
2568,กุมภาพันธ์,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,374,335,4,23,1,3,32,16,12,16,3,12,40
2568,กุมภาพันธ์,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,6,6,0,0,0,0,0,0,0,0,5,0,0
2568,กุมภาพันธ์,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,4,4,0,1,0,0,2,0,0,1,0,0,1
2568,กุมภาพันธ์,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,0,0,0,0,0,0,1,0,0,0,0,0,1
2568,กุมภาพันธ์,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,2,0,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,38,38,1,12,0,0,12,3,6,0,0,4,34
2568,กุมภาพันธ์,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,344,315,4,17,4,2,27,23,21,7,0,7,14
2568,กุมภาพันธ์,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,1,1,0,0,0,0,0,1,0,1,0,0,1
2568,กุมภาพันธ์,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,2,0,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,89,89,19,12,6,3,23,14,16,3,3,13,51
2568,กุมภาพันธ์,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,363,341,8,31,2,6,39,27,21,8,3,10,21
2568,กุมภาพันธ์,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,4,4,0,0,0,0,0,0,0,0,0,0,1
2568,กุมภาพันธ์,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,0,0,1,0,0,0
2568,กุมภาพันธ์,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,9,9,0,1,0,0,1,0,3,0,0,3,2
2568,กุมภาพันธ์,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,3,3,0,0,1,0,0,1,1,0,0,0,0
2568,กุมภาพันธ์,ขอนแก่น,รถโดยสาร ส่วนบุคคล ,10,1,0,0,0,0,0,0,0,2,0,0,2
2568,กุมภาพันธ์,ขอนแก่น,รถบรรทุก ไม่ประจำทาง ,98,98,10,3,2,2,10,21,10,10,0,1,78
2568,กุมภาพันธ์,ขอนแก่น,รถบรรทุก ส่วนบุคคล ,659,616,11,42,6,7,64,39,30,19,6,4,34
2568,กุมภาพันธ์,จันทบุรี,รถโดยสาร ประจำทาง หมวด 3,3,3,0,0,0,0,0,0,0,2,0,0,0
2568,กุมภาพันธ์,จันทบุรี,รถโดยสาร ไม่ประจำทาง ,4,4,0,0,0,0,0,0,2,3,0,1,1
2568,กุมภาพันธ์,จันทบุรี,รถโดยสาร ส่วนบุคคล ,2,0,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,จันทบุรี,รถบรรทุก ไม่ประจำทาง ,75,74,4,10,2,5,7,6,40,3,0,1,111
2568,กุมภาพันธ์,จันทบุรี,รถบรรทุก ส่วนบุคคล ,207,172,3,6,4,7,9,12,7,15,1,8,13
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 1,2,2,0,0,0,0,0,0,0,2,0,0,0
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,0,0,0,5,1
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 4,1,1,0,0,0,0,0,0,0,1,0,1,0
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถโดยสาร ไม่ประจำทาง ,14,14,3,1,0,1,1,3,0,2,0,4,2
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถโดยสาร ส่วนบุคคล ,2,2,0,0,0,0,0,0,0,0,0,0,0
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถบรรทุก ไม่ประจำทาง ,431,430,27,34,3,9,32,54,81,27,1,16,57
2568,กุมภาพันธ์,ฉะเชิงเทรา,รถบรรทุก ส่วนบุคคล ,412,348,11,7,6,6,12,25,17,20,12,14,47
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ประจำทาง หมวด 1,4,4,0,0,0,0,0,0,5,0,0,0,2
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ประจำทาง หมวด 2,3,3,0,0,0,0,0,0,0,0,0,0,1
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ประจำทาง หมวด 3,1,1,0,1,0,0,1,0,0,3,0,0,0
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ประจำทาง หมวด 4,13,13,0,0,0,0,0,0,7,5,0,0,2
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ไม่ประจำทาง ,98,97,12,9,0,0,10,3,18,12,0,3,11
2568,กุมภาพันธ์,ชลบุรี,รถโดยสาร ส่วนบุคคล ,24,12,0,2,0,0,2,1,0,0,0,0,0
2568,กุมภาพันธ์,ชลบุรี,รถบรรทุก ไม่ประจำทาง ,1030,1030,103,110,43,10,182,151,209,125,18,29,341
2568,กุมภาพันธ์,ชลบุรี,รถบรรทุก ส่วนบุคคล ,854,771,19,36,7,21,40,31,54,40,39,26,69
