ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2568,ธันวาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 1,7,7,0,0,0,0,0,0,1,0,0,0,0
2568,ธันวาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 3,20,19,1,2,0,0,2,0,3,2,0,0,2
2568,ธันวาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 4,58,58,0,0,0,0,0,0,2,1,0,0,2
2568,ธันวาคม,กระบี่,รถโดยสาร ไม่ประจำทาง ,267,257,13,13,0,3,11,0,6,4,1,1,8
2568,ธันวาคม,กระบี่,รถโดยสาร ส่วนบุคคล ,7,2,0,0,0,0,0,0,0,0,0,0,1
2568,ธันวาคม,กระบี่,รถบรรทุก ไม่ประจำทาง ,105,105,10,3,9,0,3,4,10,1,0,0,5
2568,ธันวาคม,กระบี่,รถบรรทุก ส่วนบุคคล ,436,413,8,4,1,0,7,14,22,5,3,2,10
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,1234,1232,0,0,0,0,0,2,14,14,0,1,52
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,474,472,32,15,0,0,9,10,16,26,5,18,16
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,25,24,0,1,0,0,1,0,2,2,0,0,1
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,400,399,1,5,0,0,0,1,14,9,0,12,45
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,5,5,0,0,0,0,0,0,0,0,0,0,2
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,2322,2307,20,32,0,2,11,87,33,117,101,34,65
2568,ธันวาคม,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,221,183,1,0,0,2,0,5,3,16,0,4,11
2568,ธันวาคม,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,13012,12997,323,225,8,31,232,408,542,412,67,444,1958
2568,ธันวาคม,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,6497,6200,198,24,12,25,19,183,128,177,36,61,221
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,20,20,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,8,8,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,7,7,0,0,0,0,0,0,0,2,0,0,0
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,54,54,0,1,0,0,1,0,1,2,1,2,3
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,29,29,0,0,1,0,0,0,0,0,0,0,1
2568,ธันวาคม,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,13,8,0,0,0,0,0,0,1,0,0,0,2
2568,ธันวาคม,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,756,756,16,10,2,26,13,18,16,6,5,30,55
2568,ธันวาคม,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,2617,2561,11,36,6,87,48,17,32,12,18,98,87
2568,ธันวาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,6,6,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,20,20,0,0,0,0,0,0,0,1,0,0,1
2568,ธันวาคม,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,13,13,0,0,0,0,0,0,0,1,0,2,1
2568,ธันวาคม,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,7,1,1,0,0,0,0,0,0,0,0,2,0
2568,ธันวาคม,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,244,244,2,5,0,0,12,6,22,0,0,2,44
2568,ธันวาคม,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,1164,1120,18,20,4,2,30,29,29,18,2,6,21
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 2,9,8,0,3,0,0,3,0,0,2,0,0,1
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 4,8,8,0,0,0,0,0,0,0,2,0,0,0
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,22,22,1,0,0,0,1,0,4,1,0,1,0
2568,ธันวาคม,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,10,6,0,0,0,0,0,0,0,0,1,0,0
2568,ธันวาคม,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,732,732,14,10,7,6,12,17,26,5,4,12,140
2568,ธันวาคม,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,3350,3321,1,38,6,9,61,29,42,16,10,14,65
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,43,43,0,1,0,0,0,0,2,1,0,0,2
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 2,0,0,0,0,0,0,0,2,0,0,0,0,1
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,69,69,0,10,1,0,11,1,2,5,0,0,7
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,43,43,0,0,1,0,1,0,1,0,0,2,2
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ประจำทาง ระหว่างประเทศ,1,1,0,0,0,0,0,0,0,0,0,0,1
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,40,40,0,3,0,0,1,0,0,0,2,0,0
2568,ธันวาคม,ขอนแก่น,รถโดยสาร ส่วนบุคคล ,36,14,1,1,0,0,1,1,0,1,0,1,1
2568,ธันวาคม,ขอนแก่น,รถบรรทุก ไม่ประจำทาง ,853,848,28,9,5,1,15,18,21,6,1,12,140
2568,ธันวาคม,ขอนแก่น,รถบรรทุก ส่วนบุคคล ,2902,2827,9,35,6,13,55,51,55,44,19,19,87
2568,ธันวาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 2,3,3,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 4,14,14,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,จันทบุรี,รถโดยสาร ไม่ประจำทาง ,32,32,0,2,0,1,4,0,0,4,1,2,3
2568,ธันวาคม,จันทบุรี,รถโดยสาร ส่วนบุคคล ,4,2,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,จันทบุรี,รถบรรทุก ไม่ประจำทาง ,391,388,0,6,2,5,12,10,24,8,1,6,133
2568,ธันวาคม,จันทบุรี,รถบรรทุก ส่วนบุคคล ,693,641,2,5,0,29,7,18,12,14,10,30,39
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 1,18,18,0,0,0,0,0,0,1,1,0,1,0
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 2,0,0,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 3,9,9,0,0,0,0,0,0,0,1,0,0,0
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 4,36,36,0,0,0,0,0,0,0,1,1,7,1
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ไม่ประจำทาง ,156,154,2,2,1,0,1,1,3,3,1,3,8
2568,ธันวาคม,ฉะเชิงเทรา,รถโดยสาร ส่วนบุคคล ,11,5,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,ฉะเชิงเทรา,รถบรรทุก ไม่ประจำทาง ,1740,1740,59,29,16,9,31,60,74,51,4,14,113
2568,ธันวาคม,ฉะเชิงเทรา,รถบรรทุก ส่วนบุคคล ,1415,1367,11,21,2,9,28,30,22,34,9,13,59
2568,ธันวาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 1,175,175,0,0,0,0,0,0,4,3,0,0,1
2568,ธันวาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 2,34,34,0,14,0,0,14,0,1,8,0,1,0
2568,ธันวาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 3,25,25,0,0,0,0,0,0,1,0,0,0,2
2568,ธันวาคม,ชลบุรี,รถโดยสาร ประจำทาง หมวด 4,195,195,0,1,0,0,0,0,5,4,0,0,4
2568,ธันวาคม,ชลบุรี,รถโดยสาร ไม่ประจำทาง ,618,617,6,5,0,1,7,3,32,26,0,2,4
2568,ธันวาคม,ชลบุรี,รถโดยสาร ส่วนบุคคล ,73,44,0,0,0,0,0,0,2,3,0,0,0
2568,ธันวาคม,ชลบุรี,รถบรรทุก ไม่ประจำทาง ,5827,5812,96,165,28,13,209,115,364,126,12,29,801
2568,ธันวาคม,ชลบุรี,รถบรรทุก ส่วนบุคคล ,3399,3293,49,39,11,24,43,49,73,70,24,61,153
2568,ธันวาคม,ชัยนาท,รถโดยสาร ประจำทาง หมวด 2,1,1,0,1,0,0,1,0,0,0,0,0,0
2568,ธันวาคม,ชัยนาท,รถโดยสาร ประจำทาง หมวด 4,5,5,0,0,0,0,0,0,0,0,0,0,1
2568,ธันวาคม,ชัยนาท,รถโดยสาร ไม่ประจำทาง ,44,44,0,0,0,0,0,0,0,1,1,0,1
2568,ธันวาคม,ชัยนาท,รถโดยสาร ส่วนบุคคล ,8,1,0,0,0,0,0,0,0,0,0,0,0
2568,ธันวาคม,ชัยนาท,รถบรรทุก ไม่ประจำทาง ,363,363,2,5,6,2,5,8,14,10,0,0,31
