ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2567,มกราคม,กระบี่,รถโดยสาร ประจำทาง หมวด 3,3,3,1,0,0,0,0,0,0,0,0,0,0
2567,มกราคม,กระบี่,รถโดยสาร ประจำทาง หมวด 4,7,5,0,2,0,1,0,0,1,0,0,0,1
2567,มกราคม,กระบี่,รถโดยสาร ไม่ประจำทาง ,54,53,10,13,0,0,0,3,7,7,0,0,4
2567,มกราคม,กระบี่,รถโดยสาร ส่วนบุคคล ,4,1,0,0,0,0,0,0,0,0,0,0,0
2567,มกราคม,กระบี่,รถบรรทุก ไม่ประจำทาง ,71,71,6,1,0,0,0,2,11,2,0,0,1
2567,มกราคม,กระบี่,รถบรรทุก ส่วนบุคคล ,279,268,3,5,0,1,6,22,22,1,7,8,15
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,185,185,20,0,0,0,0,13,13,18,0,20,43
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,46,45,1,5,0,0,0,3,12,17,13,2,52
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,1,1,0,0,2
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,122,122,0,2,0,0,0,1,14,7,9,7,14
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,4
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,589,583,35,68,0,1,15,33,44,71,32,60,152
2567,มกราคม,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,80,42,9,0,0,0,0,6,3,6,1,0,7
2567,มกราคม,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,3213,3205,232,272,10,23,163,340,497,283,105,303,1047
2567,มกราคม,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,1987,1677,103,45,7,23,32,227,113,231,12,82,216
2567,มกราคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,6,6,0,0,0,0,0,0,0,0,0,0,1
2567,มกราคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,3,3,0,0,0,0,0,10,0,10,0,0,0
2567,มกราคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,8,8,0,0,0,0,0,1,1,1,3,2,3
2567,มกราคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,5,5,0,1,0,0,0,0,4,0,0,0,2
2567,มกราคม,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,7,7,1,1,0,0,0,1,0,1,0,1,0
2567,มกราคม,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,3,0,0,0,0,0,0,0,0,1,0,0,0
2567,มกราคม,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,223,223,25,6,3,0,12,11,33,7,32,27,37
2567,มกราคม,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,1051,980,20,28,4,7,35,25,26,11,10,35,76
2567,มกราคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,3,3,0,0,0,0,0,0,0,0,0,0,0
2567,มกราคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,12,12,0,0,0,0,0,0,0,3,0,0,0
2567,มกราคม,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,7,7,0,4,0,0,3,0,0,0,0,0,1
2567,มกราคม,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,6,4,0,1,0,0,0,0,0,0,0,0,0
