ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2566,มิถุนายน,กระบี่,รถโดยสาร ประจำทาง หมวด 1,5,5,0,0,0,0,0,0,0,0,0,0,0
2566,มิถุนายน,กระบี่,รถโดยสาร ประจำทาง หมวด 3,7,7,0,0,0,0,0,0,0,0,0,0,1
2566,มิถุนายน,กระบี่,รถโดยสาร ประจำทาง หมวด 4,52,52,0,0,0,0,0,0,0,1,0,0,0
2566,มิถุนายน,กระบี่,รถโดยสาร ไม่ประจำทาง ,166,160,10,16,0,4,4,2,11,8,0,0,9
2566,มิถุนายน,กระบี่,รถโดยสาร ส่วนบุคคล ,6,2,0,0,0,0,0,0,0,0,0,0,0
2566,มิถุนายน,กระบี่,รถบรรทุก ไม่ประจำทาง ,76,76,3,1,0,0,1,1,5,0,0,0,6
2566,มิถุนายน,กระบี่,รถบรรทุก ส่วนบุคคล ,647,640,21,3,3,4,16,22,26,12,1,4,23
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,1179,1167,253,0,0,0,0,10,12,81,0,241,90
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,575,575,5,9,0,0,5,7,13,26,9,0,18
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,51,51,0,0,0,0,0,3,3,6,0,0,0
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,549,549,0,2,0,0,0,5,16,15,2,15,21
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,4,4,0,0,0,0,0,0,0,0,0,0,0
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,2249,2243,22,44,2,0,12,62,50,85,19,49,274
2566,มิถุนายน,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,317,258,6,2,0,0,3,16,17,41,2,4,15
2566,มิถุนายน,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,15833,15783,704,335,30,17,221,370,546,678,129,380,2221
2566,มิถุนายน,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,8233,7683,138,47,13,21,59,215,193,216,35,79,293
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,21,21,0,0,0,0,0,0,0,0,0,0,4
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,12,12,0,0,0,0,0,0,0,0,0,0,0
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,10,10,0,0,0,0,0,0,0,4,0,0,1
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,31,31,0,0,0,0,0,0,6,4,1,0,4
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,23,23,0,0,0,0,0,0,0,2,1,2,3
2566,มิถุนายน,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,6,3,0,0,0,0,0,0,0,0,1,0,0
2566,มิถุนายน,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,634,634,1,12,10,0,34,16,24,16,10,3,26
2566,มิถุนายน,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,1233,1187,5,27,10,4,50,27,51,13,10,16,48
2566,มิถุนายน,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,5,5,0,0,0,0,0,0,0,1,0,0,0
2566,มิถุนายน,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,10,10,0,0,0,0,0,0,0,2,0,0,0
2566,มิถุนายน,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,14,14,0,0,0,0,0,0,0,1,5,7,0
2566,มิถุนายน,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,16,8,0,1,0,0,1,0,0,2,0,0,0
2566,มิถุนายน,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,174,174,1,0,1,0,1,9,17,4,1,0,18
2566,มิถุนายน,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,1210,1166,28,19,3,7,42,44,44,21,1,6,23
