ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2565,มีนาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 1,9,9,0,0,0,0,0,0,0,2,0,0,1
2565,มีนาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 3,8,8,0,0,0,0,0,0,3,0,0,0,1
2565,มีนาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 4,55,55,1,1,0,0,1,0,3,1,0,1,2
2565,มีนาคม,กระบี่,รถโดยสาร ไม่ประจำทาง ,117,117,0,0,0,0,0,1,2,16,5,2,2
2565,มีนาคม,กระบี่,รถโดยสาร ส่วนบุคคล ,6,6,1,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,กระบี่,รถบรรทุก ไม่ประจำทาง ,137,137,0,0,0,0,0,1,14,0,0,0,4
2565,มีนาคม,กระบี่,รถบรรทุก ส่วนบุคคล ,600,577,17,4,1,8,11,26,49,13,2,8,20
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,1022,1022,1,1,0,0,0,17,211,50,0,4,60
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,445,444,1,3,0,0,0,1,6,38,11,0,12
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,32,32,0,0,0,0,0,3,1,1,0,0,1
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,533,533,0,2,0,0,0,6,10,5,0,3,9
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,1648,1646,21,41,0,1,11,28,40,127,130,44,68
2565,มีนาคม,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,406,349,6,2,1,0,1,8,8,16,2,6,9
2565,มีนาคม,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,14299,14277,442,364,18,28,179,424,554,526,95,211,1675
2565,มีนาคม,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,8649,8320,291,32,10,21,41,352,191,209,25,90,336
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,19,19,0,0,0,0,0,0,0,3,0,0,0
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,10,10,0,0,0,0,0,0,0,1,0,0,0
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,10,10,0,0,0,0,0,0,0,1,2,0,0
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,78,78,0,0,0,0,0,2,2,2,1,1,2
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,18,18,0,0,0,0,0,2,3,5,0,0,3
2565,มีนาคม,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,10,4,0,0,0,0,0,0,0,0,0,0,3
2565,มีนาคม,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,589,589,12,11,5,2,14,18,19,14,2,12,30
2565,มีนาคม,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,1158,1103,16,22,3,3,48,42,33,23,5,12,58
2565,มีนาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,20,20,0,0,0,0,0,0,0,1,0,0,0
2565,มีนาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,26,26,0,0,0,0,0,0,0,2,0,0,0
2565,มีนาคม,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,10,10,0,0,0,0,0,0,0,2,0,0,3
2565,มีนาคม,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,14,10,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,204,204,5,2,4,0,3,6,16,7,1,2,25
2565,มีนาคม,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,1244,1214,12,41,4,8,101,54,59,21,1,9,58
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 1,3,3,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 2,4,4,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 3,2,2,0,0,0,0,0,0,0,1,0,0,1
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 4,37,37,0,0,0,0,0,0,0,7,0,0,3
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,7,7,0,0,0,0,0,0,0,2,0,0,0
2565,มีนาคม,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,14,11,0,1,0,0,1,0,0,0,0,0,0
2565,มีนาคม,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,638,638,20,14,11,11,19,15,19,8,1,14,31
2565,มีนาคม,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,1587,1545,14,31,4,15,52,38,56,21,9,42,50
2565,มีนาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,58,58,0,0,0,0,0,0,3,11,0,0,2
2565,มีนาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 2,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,80,80,0,0,0,0,0,0,4,5,5,0,10
2565,มีนาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,58,58,0,0,0,0,0,0,3,3,0,1,2
2565,มีนาคม,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,44,44,0,0,0,0,0,0,2,2,2,2,2
2565,มีนาคม,ขอนแก่น,รถโดยสาร ส่วนบุคคล ,21,11,1,0,0,0,0,0,0,1,0,0,0
2565,มีนาคม,ขอนแก่น,รถบรรทุก ไม่ประจำทาง ,777,777,56,7,7,3,18,30,28,33,6,5,124
2565,มีนาคม,ขอนแก่น,รถบรรทุก ส่วนบุคคล ,2388,2339,31,51,8,11,109,73,92,26,7,13,104
2565,มีนาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 2,1,1,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 3,14,14,0,0,0,0,0,0,0,0,0,1,0
2565,มีนาคม,จันทบุรี,รถโดยสาร ประจำทาง หมวด 4,22,22,2,0,0,0,0,0,0,2,0,0,0
2565,มีนาคม,จันทบุรี,รถโดยสาร ไม่ประจำทาง ,27,27,0,0,0,0,0,1,2,4,1,7,4
2565,มีนาคม,จันทบุรี,รถโดยสาร ส่วนบุคคล ,8,2,0,0,0,0,0,0,0,0,0,0,0
2565,มีนาคม,จันทบุรี,รถบรรทุก ไม่ประจำทาง ,363,363,13,22,4,1,27,11,23,6,0,3,157
2565,มีนาคม,จันทบุรี,รถบรรทุก ส่วนบุคคล ,841,776,5,18,0,0,22,27,21,26,3,2,29
2565,มีนาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 1,23,23,0,0,0,0,0,0,0,1,0,2,2
2565,มีนาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 2,5,5,0,0,0,0,0,1,0,5,0,0,0
2565,มีนาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 3,26,26,0,1,0,0,1,0,1,10,3,0,5
2565,มีนาคม,ฉะเชิงเทรา,รถโดยสาร ประจำทาง หมวด 4,14,14,0,0,0,0,0,0,0,5,0,0,0
2565,มีนาคม,ฉะเชิงเทรา,รถโดยสาร ไม่ประจำทาง ,172,172,8,5,0,1,1,11,3,33,24,3,9
