ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2567,สิงหาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 3,2,2,1,0,0,0,0,1,0,1,0,0,0
2567,สิงหาคม,กระบี่,รถโดยสาร ประจำทาง หมวด 4,3,3,0,0,0,0,0,0,0,1,0,0,1
2567,สิงหาคม,กระบี่,รถโดยสาร ไม่ประจำทาง ,54,51,6,13,0,2,1,0,8,6,0,0,3
2567,สิงหาคม,กระบี่,รถโดยสาร ส่วนบุคคล ,6,1,1,0,0,0,0,0,0,0,0,0,0
2567,สิงหาคม,กระบี่,รถบรรทุก ไม่ประจำทาง ,51,51,2,0,2,0,0,12,4,0,0,0,2
2567,สิงหาคม,กระบี่,รถบรรทุก ส่วนบุคคล ,188,176,20,7,1,1,9,17,24,2,0,3,12
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,582,582,0,0,0,0,0,7,8,4,8,1,277
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,63,63,1,7,0,0,5,9,8,29,2,4,3
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,3,3,1,0,0,0,0,0,0,0,0,0,10
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,69,69,0,0,0,0,0,1,14,2,0,3,11
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,3
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,386,386,36,45,0,1,17,23,48,45,3,43,191
2567,สิงหาคม,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,99,76,14,1,0,0,0,2,3,10,0,1,3
2567,สิงหาคม,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,4761,4756,349,276,12,33,244,311,917,278,48,115,807
2567,สิงหาคม,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,3287,2933,158,38,4,23,33,245,99,155,23,56,203
2567,สิงหาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,3,3,0,1,0,0,0,0,1,0,0,0,1
2567,สิงหาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,0,1,0
2567,สิงหาคม,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,4,4,0,0,0,0,0,0,0,3,0,0,0
2567,สิงหาคม,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,2,2,0,1,0,0,2,1,3,0,0,0,1
2567,สิงหาคม,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,7,5,1,1,0,0,0,0,0,1,0,3,1
2567,สิงหาคม,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,75,75,8,2,7,1,6,15,21,6,0,3,20
2567,สิงหาคม,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,439,398,7,28,3,4,35,27,41,19,2,33,45
2567,สิงหาคม,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,0,0,0,0,0,0,0,0,0,1,0,0,0
2567,สิงหาคม,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,4,4,0,0,0,0,0,0,0,0,0,0,0
2567,สิงหาคม,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,8,4,1,1,0,0,1,0,0,1,0,0,0
2567,สิงหาคม,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,36,36,9,0,0,0,2,5,6,0,0,2,11
2567,สิงหาคม,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,343,326,9,27,6,5,46,38,33,6,0,7,22
2567,สิงหาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,1,0,1,0,0,0
2567,สิงหาคม,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 4,2,2,0,1,0,1,1,0,0,1,0,0,0
2567,สิงหาคม,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,0,0,0,0,0,0,0,0,1,0,0,1,3
2567,สิงหาคม,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,5,1,1,0,0,0,0,0,0,0,0,0,0
2567,สิงหาคม,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,81,80,13,6,2,2,10,15,35,11,0,18,22
2567,สิงหาคม,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,494,467,20,29,6,12,50,26,28,14,1,17,55
2567,สิงหาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,3,3,0,1,0,0,0,0,0,1,0,0,0
2567,สิงหาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 2,0,0,0,0,0,0,0,3,0,0,0,0,0
2567,สิงหาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,8,8,0,1,0,0,0,0,1,2,0,0,3
2567,สิงหาคม,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,4,4,0,0,0,0,0,1,0,1,0,0,0
2567,สิงหาคม,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,6,6,0,0,0,0,1,1,0,0,0,1,1
