ปี พ.ศ.,เดือน,จังหวัด,ประเภทรถ,รถที่ดำเนินการ,รถที่เสียภาษี,รถจดใหม่ป้ายแดง,รถจดใหม่ใช้แล้ว,รถเปลี่ยนประเภท,รถเปลี่ยนลักษณะ,รถย้ายเข้า,รถย้ายออก,รถโอน,รถแจ้งเลิกใช้ ม.79,รถแจ้งเลิกใช้ ม.89,รถเปลี่ยนสาระสำคัญ,ดำเนินการอื่นๆ
2567,เมษายน,กระบี่,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กระบี่,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,1,0,2
2567,เมษายน,กระบี่,รถโดยสาร ประจำทาง หมวด 4,16,15,0,0,0,0,0,0,0,0,0,0,1
2567,เมษายน,กระบี่,รถโดยสาร ไม่ประจำทาง ,87,81,5,9,0,5,4,1,4,5,2,0,7
2567,เมษายน,กระบี่,รถโดยสาร ส่วนบุคคล ,1,0,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กระบี่,รถบรรทุก ไม่ประจำทาง ,93,91,0,1,0,0,7,1,9,1,0,0,8
2567,เมษายน,กระบี่,รถบรรทุก ส่วนบุคคล ,313,303,14,8,0,1,6,16,17,9,1,2,7
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 1,148,147,45,2,0,0,0,9,5,10,77,45,17
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 2,72,72,5,14,0,5,6,6,3,12,1,8,23
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 3,8,8,0,0,0,0,0,0,0,0,0,0,1
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง หมวด 4,98,98,1,1,0,0,0,0,7,3,3,9,10
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ประจำทาง ระหว่างประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,5
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ไม่ประจำทาง ,718,711,23,42,0,0,20,26,34,46,14,44,71
2567,เมษายน,กรุงเทพมหานคร,รถโดยสาร ส่วนบุคคล ,105,72,4,0,0,0,0,5,0,10,1,2,5
2567,เมษายน,กรุงเทพมหานคร,รถบรรทุก ไม่ประจำทาง ,3413,3386,309,270,14,23,152,385,386,214,174,136,1258
2567,เมษายน,กรุงเทพมหานคร,รถบรรทุก ส่วนบุคคล ,2093,1655,136,54,2,21,29,178,106,85,23,43,147
2567,เมษายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 1,12,12,0,0,0,0,0,0,2,1,0,0,3
2567,เมษายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 2,2,2,0,0,0,0,0,0,0,2,0,0,0
2567,เมษายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 3,4,4,0,0,0,0,0,1,0,0,0,0,1
2567,เมษายน,กาญจนบุรี,รถโดยสาร ประจำทาง หมวด 4,10,10,2,0,0,0,0,0,0,6,2,2,1
2567,เมษายน,กาญจนบุรี,รถโดยสาร ไม่ประจำทาง ,4,4,0,0,0,0,0,1,0,1,0,2,1
2567,เมษายน,กาญจนบุรี,รถโดยสาร ส่วนบุคคล ,9,5,3,0,1,0,0,0,0,0,0,0,1
2567,เมษายน,กาญจนบุรี,รถบรรทุก ไม่ประจำทาง ,268,268,16,10,3,1,14,14,5,7,24,1,14
2567,เมษายน,กาญจนบุรี,รถบรรทุก ส่วนบุคคล ,607,586,10,29,1,5,36,15,28,6,7,10,41
2567,เมษายน,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 3,6,6,0,0,0,0,0,0,0,1,0,0,0
2567,เมษายน,กาฬสินธุ์,รถโดยสาร ประจำทาง หมวด 4,8,7,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กาฬสินธุ์,รถโดยสาร ไม่ประจำทาง ,2,2,0,0,0,0,0,0,0,0,0,1,0
2567,เมษายน,กาฬสินธุ์,รถโดยสาร ส่วนบุคคล ,18,13,1,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กาฬสินธุ์,รถบรรทุก ไม่ประจำทาง ,95,95,5,4,1,0,8,4,14,2,1,2,32
2567,เมษายน,กาฬสินธุ์,รถบรรทุก ส่วนบุคคล ,733,703,8,31,5,1,53,34,54,11,11,5,24
2567,เมษายน,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 1,1,1,0,0,0,0,0,0,0,1,0,0,0
2567,เมษายน,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กำแพงเพชร,รถโดยสาร ประจำทาง หมวด 4,8,8,0,1,0,0,1,1,0,1,0,0,0
2567,เมษายน,กำแพงเพชร,รถโดยสาร ไม่ประจำทาง ,3,3,0,0,0,0,1,1,1,0,0,0,1
2567,เมษายน,กำแพงเพชร,รถโดยสาร ส่วนบุคคล ,4,1,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,กำแพงเพชร,รถบรรทุก ไม่ประจำทาง ,162,161,12,12,4,7,21,11,11,4,0,4,81
2567,เมษายน,กำแพงเพชร,รถบรรทุก ส่วนบุคคล ,551,541,3,32,2,4,51,19,61,3,9,10,39
2567,เมษายน,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 1,16,16,0,0,0,0,0,0,0,1,1,0,0
2567,เมษายน,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 2,1,1,0,0,0,0,0,0,0,0,1,0,0
2567,เมษายน,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 3,16,16,0,0,0,0,0,2,0,2,1,0,0
2567,เมษายน,ขอนแก่น,รถโดยสาร ประจำทาง หมวด 4,14,14,0,1,1,0,2,0,0,0,0,0,3
2567,เมษายน,ขอนแก่น,รถโดยสาร ไม่ประจำทาง ,9,8,0,0,0,0,0,1,2,1,0,2,1
2567,เมษายน,ขอนแก่น,รถโดยสาร ส่วนบุคคล ,26,10,0,3,0,0,3,0,1,0,0,0,0
2567,เมษายน,ขอนแก่น,รถบรรทุก ไม่ประจำทาง ,274,266,20,10,0,0,9,18,17,7,0,1,105
2567,เมษายน,ขอนแก่น,รถบรรทุก ส่วนบุคคล ,1038,986,15,49,7,12,83,43,52,10,1,24,46
2567,เมษายน,จันทบุรี,รถโดยสาร ประจำทาง หมวด 2,4,4,0,0,0,0,0,0,0,1,0,0,0
2567,เมษายน,จันทบุรี,รถโดยสาร ประจำทาง หมวด 3,1,1,0,0,0,0,0,0,0,0,0,0,0
2567,เมษายน,จันทบุรี,รถโดยสาร ประจำทาง หมวด 4,1,1,0,0,0,0,0,0,0,2,0,0,1
2567,เมษายน,จันทบุรี,รถโดยสาร ไม่ประจำทาง ,15,15,0,0,0,0,0,0,1,2,0,6,1
2567,เมษายน,จันทบุรี,รถโดยสาร ส่วนบุคคล ,1,1,0,1,0,0,1,0,0,0,0,0,0
2567,เมษายน,จันทบุรี,รถบรรทุก ไม่ประจำทาง ,140,140,2,3,1,1,4,12,15,1,1,1,186
2567,เมษายน,จันทบุรี,รถบรรทุก ส่วนบุคคล ,282,256,11,10,2,9,18,14,15,4,4,4,16
