พื้นที่,ประเภทการขนส่ง,ลักษณะรถ,จำนวนใบอนุญาต
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 1,579
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 2,192
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 3,444
ทั่วประเทศ,ประจำทาง,รถโดยสาร หมวด 4,1426
ทั่วประเทศ,ประจำทาง,รถโดยสาร ระหว่างประเทศ,15
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ,30598
ทั่วประเทศ,ไม่ประจำทาง,รถโดยสาร ระหว่างประเทศ,196
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ,37941
ทั่วประเทศ,ไม่ประจำทาง,รถบรรทุก ระหว่างประเทศ,2931
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ,2491
ทั่วประเทศ,ส่วนบุคคล,รถโดยสาร ระหว่างประเทศ,1
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ,328691
ทั่วประเทศ,ส่วนบุคคล,รถบรรทุก ระหว่างประเทศ,159
