ชุดข้อมูลเดือน,ชุดข้อมูลปี,รายการ,ค่าข้อมูล
มีนาคม,2551,ยอดคงค้าง NPL รวม (Gross),169441.5223
มิถุนายน,2551,ยอดคงค้าง NPL รวม (Gross),150453.3128
กันยายน,2551,ยอดคงค้าง NPL รวม (Gross),159963.2925
ธันวาคม,2551,ยอดคงค้าง NPL รวม (Gross),150483.0721
มีนาคม,2552,ยอดคงค้าง NPL รวม (Gross),145030.7961
มิถุนายน,2552,ยอดคงค้าง NPL รวม (Gross),153554.2
กันยายน,2552,ยอดคงค้าง NPL รวม (Gross),182727.8734
ธันวาคม,2552,ยอดคงค้าง NPL รวม (Gross),175090.3392
มีนาคม,2553,ยอดคงค้าง NPL รวม (Gross),159433.9647
มิถุนายน,2553,ยอดคงค้าง NPL รวม (Gross),168888.1456
กันยายน,2553,ยอดคงค้าง NPL รวม (Gross),181749.8527
ธันวาคม,2553,ยอดคงค้าง NPL รวม (Gross),161797.7014
มีนาคม,2554,ยอดคงค้าง NPL รวม (Gross),146608.7431
มิถุนายน,2554,ยอดคงค้าง NPL รวม (Gross),160692.9977
กันยายน,2554,ยอดคงค้าง NPL รวม (Gross),160391.8851
ธันวาคม,2554,ยอดคงค้าง NPL รวม (Gross),159467.6322
มีนาคม,2555,ยอดคงค้าง NPL รวม (Gross),146507.7388
มิถุนายน,2555,ยอดคงค้าง NPL รวม (Gross),170459.7493
กันยายน,2555,ยอดคงค้าง NPL รวม (Gross),148169.7195
ธันวาคม,2555,ยอดคงค้าง NPL รวม (Gross),157327.332
มีนาคม,2556,ยอดคงค้าง NPL รวม (Gross),175471.2202
มิถุนายน,2556,ยอดคงค้าง NPL รวม (Gross),200476.0677
กันยายน,2556,ยอดคงค้าง NPL รวม (Gross),203663.6636
ธันวาคม,2556,ยอดคงค้าง NPL รวม (Gross),190146.6055
มีนาคม,2557,ยอดคงค้าง NPL รวม (Gross),187665.2123
มิถุนายน,2557,ยอดคงค้าง NPL รวม (Gross),189105.2599
กันยายน,2557,ยอดคงค้าง NPL รวม (Gross),205891.2938
ธันวาคม,2557,ยอดคงค้าง NPL รวม (Gross),201179.0365
มีนาคม,2558,ยอดคงค้าง NPL รวม (Gross),200847.1723
มิถุนายน,2558,ยอดคงค้าง NPL รวม (Gross),206751.2436
กันยายน,2558,ยอดคงค้าง NPL รวม (Gross),226788.2048
ธันวาคม,2558,ยอดคงค้าง NPL รวม (Gross),206379.959
มีนาคม,2559,ยอดคงค้าง NPL รวม (Gross),203271.0336
มิถุนายน,2559,ยอดคงค้าง NPL รวม (Gross),219771.9843
กันยายน,2559,ยอดคงค้าง NPL รวม (Gross),230042.9704
ธันวาคม,2559,ยอดคงค้าง NPL รวม (Gross),222027.6171
มีนาคม,2560,ยอดคงค้าง NPL รวม (Gross),219101.8607
มิถุนายน,2560,ยอดคงค้าง NPL รวม (Gross),181796.4313
กันยายน,2560,ยอดคงค้าง NPL รวม (Gross),198240.3912
ธันวาคม,2560,ยอดคงค้าง NPL รวม (Gross),189205.5902
มีนาคม,2561,ยอดคงค้าง NPL รวม (Gross),180792.1781
มิถุนายน,2561,ยอดคงค้าง NPL รวม (Gross),188811.6799
กันยายน,2561,ยอดคงค้าง NPL รวม (Gross),198388.0054
ธันวาคม,2561,ยอดคงค้าง NPL รวม (Gross),198525.3639
มีนาคม,2562,ยอดคงค้าง NPL รวม (Gross),200347.3227
มิถุนายน,2562,ยอดคงค้าง NPL รวม (Gross),208827.2441
กันยายน,2562,ยอดคงค้าง NPL รวม (Gross),219337.6267
ธันวาคม,2562,ยอดคงค้าง NPL รวม (Gross),208923.5779
