year,category,subcatagory,list,value,unit
2562/63,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาพืช,67182,บาท/ครัวเรือน
2562/63,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาสัตว์,21487,บาท/ครัวเรือน
2562/63,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,อื่นๆ,16255,บาท/ครัวเรือน
2562/63,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การบริโภค,40276,บาท/ครัวเรือน
2562/63,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การอุปโภค และอื่นๆ,130735,บาท/ครัวเรือน
2563/64,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาพืช,76051,บาท/ครัวเรือน
2563/64,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาสัตว์,17353,บาท/ครัวเรือน
2563/64,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,อื่นๆ,15356,บาท/ครัวเรือน
2563/64,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การบริโภค,63661,บาท/ครัวเรือน
2563/64,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การอุปโภค และอื่นๆ,108272,บาท/ครัวเรือน
2564/65,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาพืช,98510,บาท/ครัวเรือน
2564/65,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาสัตว์,15610,บาท/ครัวเรือน
2564/65,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,อื่นๆ,11920,บาท/ครัวเรือน
2564/65,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การบริโภค,65996,บาท/ครัวเรือน
2564/65,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การอุปโภค และอื่นๆ,114572,บาท/ครัวเรือน
2565/66,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาพืช,113774,บาท/ครัวเรือน
2565/66,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาสัตว์,19242,บาท/ครัวเรือน
2565/66,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,อื่นๆ,15067,บาท/ครัวเรือน
2565/66,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การบริโภค,68193,บาท/ครัวเรือน
2565/66,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การอุปโภค และอื่นๆ,121311,บาท/ครัวเรือน
2566/67,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาพืช,110397,บาท/ครัวเรือน
2566/67,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,สาขาสัตว์,26489,บาท/ครัวเรือน
2566/67,รายจ่ายเงินสด,รายจ่ายเงินสดทางการเกษตร,อื่นๆ,16510,บาท/ครัวเรือน
2566/67,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การบริโภค,71778,บาท/ครัวเรือน
2566/67,รายจ่ายเงินสด,รายจ่ายเงินสดนอกการเกษตร,การอุปโภค และอื่นๆ,124477,บาท/ครัวเรือน
