Province_Name,CaneArea,Cane,CaneAreafactory,Canefactory,Yield,Region_Name,ProductionYear
ลำปาง," 2,882 "," 28,964 "," 2,732 "," 27,452 ",10.05 ,เหนือ,2556/57
แพร่," 1,092 "," 11,433 "," 1,035 "," 10,836 ",10.47 ,เหนือ,2556/57
อุตรดิตถ์," 86,415 "," 931,557 "," 81,904 "," 882,929 ",10.78 ,เหนือ,2556/57
สุโขทัย," 261,347 "," 2,924,468 "," 247,704 "," 2,771,811 ",11.19 ,เหนือ,2556/57
ตาก," 9,705 "," 103,261 "," 9,179 "," 97,664 ",10.64 ,เหนือ,2556/57
กำแพงเพชร," 678,677 "," 7,580,822 "," 644,879 "," 7,203,297 ",11.17 ,เหนือ,2556/57
นครสวรรค์," 692,268 "," 7,691,097 "," 656,132 "," 7,289,622 ",11.11 ,เหนือ,2556/57
พิษณุโลก," 120,088 "," 1,325,772 "," 113,579 "," 1,253,915 ",11.04 ,เหนือ,2556/57
พิจิตร," 63,952 "," 751,437 "," 60,614 "," 712,212 ",11.75 ,เหนือ,2556/57
เพชรบูรณ์," 372,874 "," 4,183,645 "," 353,410 "," 3,965,258 ",11.22 ,เหนือ,2556/57
อุทัยธานี," 338,284 "," 3,859,820 "," 299,111 "," 3,412,853 ",11.41,กลาง,2556/57
ชัยนาท," 151,789 "," 1,778,967 "," 133,772 "," 1,567,804 ",11.72,กลาง,2556/57
สิงห์บุรี," 14,606 "," 175,856 "," 12,855 "," 154,771 ",12.04,กลาง,2556/57
ลพบุรี," 647,398 "," 7,574,557 "," 570,487 "," 6,674,699 ",11.70,กลาง,2556/57
สระบุรี," 132,527 "," 1,546,590 "," 116,756 "," 1,362,546 ",11.67,กลาง,2556/57
อ่างทอง," 20,115 "," 243,190 "," 17,705 "," 214,056 ",12.09,กลาง,2556/57
สุพรรณบุรี," 605,422 "," 6,938,136 "," 534,103 "," 6,120,824 ",11.46,กลาง,2556/57
กาญจนบุรี," 718,705 "," 8,178,863 "," 634,760 "," 7,223,572 ",11.38,กลาง,2556/57
นครปฐม," 84,591 "," 963,491 "," 74,736 "," 851,245 ",11.39,กลาง,2556/57
ราชบุรี," 166,684 "," 1,891,863 "," 147,432 "," 1,673,353 ",11.35,กลาง,2556/57
เพชรบุรี," 36,699 "," 407,726 "," 32,446 "," 360,470 ",11.11,กลาง,2556/57
ประจวบคีรีขันธ์," 53,603 "," 592,313 "," 47,321 "," 522,894 ",11.05,กลาง,2556/57
เลย," 212,362 "," 2,423,050 "," 199,196 "," 2,272,821 ",11.41 ,ตะวันออกเฉียงเหนื่อ,2556/57
หนองบัวลำภู," 219,127 "," 2,456,414 "," 205,322 "," 2,301,660 ",11.21 ,ตะวันออกเฉียงเหนื่อ,2556/57
อุดรธานี," 639,523 "," 7,130,681 "," 597,954 "," 6,667,187 ",11.15 ,ตะวันออกเฉียงเหนื่อ,2556/57
หนองคาย," 40,503 "," 452,824 "," 37,870 "," 423,390 ",11.18 ,ตะวันออกเฉียงเหนื่อ,2556/57
บึงกาฬ," 2,317 "," 25,858 "," 2,187 "," 24,410 ",11.16 ,ตะวันออกเฉียงเหนื่อ,2556/57
สกลนคร," 63,994 "," 710,333 "," 58,900 "," 653,791 ",11.10 ,ตะวันออกเฉียงเหนื่อ,2556/57
